Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0,4.73
7.94,0.474,0.777
6.31,0.219,0.568
5.01,0.322,0.458
3.98,0.313,0.391
3.16,0.312,0.345
2.51,0.308,0.308
2,0.272,0.285
1.58,0.255,0.257
1.26,0.228,0.222
1,0.197,0.204
0.794,0.183,0.187
0.631,0.16,0.166
0.501,0.143,0.15
0.398,0.125,0.135
0.316,0.107,0.12
0.251,0.0925,0.107
0.2,0.0778,0.0955
0.158,0.0659,0.0844
0.126,0.055,0.0743
0.1,0.0453,0.0651
0.0794,0.0371,0.0571
0.0631,0.03,0.0497
0.0501,0.0238,0.0428
0.0398,0.0186,0.0367
0.0316,0.0141,0.0313
0.0251,0.0108,0.0265
0.02,0.0079,0.0224
0.0158,0.00578,0.0187
0.0126,0.00425,0.0155
0.01,0.00298,0.0128
