Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.001836,6.218e-09,0.0002836
0.002311,5.509e-09,0.0002832
0.002908,4.617e-09,0.0002826
0.003659,3.496e-09,0.0002819
0.004605,2.087e-09,0.0002811
0.005796,3.184e-10,0.00028
0.007294,1.897e-09,0.0002786
0.00918,4.662e-09,0.0002769
0.01155,8.093e-09,0.0002748
0.01454,1.231e-08,0.0002722
0.0183,1.74e-08,0.0002689
0.02303,2.338e-08,0.0002648
0.02898,3.002e-08,0.0002599
0.03647,3.658e-08,0.0002541
0.0459,4.122e-08,0.0002476
0.05776,3.976e-08,0.000241
0.07269,2.327e-08,0.0002358
0.09149,2.691e-08,0.0002357
0.1151,1.373e-07,0.0002522
0.1449,3.541e-07,0.0003006
0.1824,7.534e-07,0.0003963
0.2295,1.444e-06,0.0005614
0.2888,2.584e-06,0.0008182
0.3635,4.399e-06,0.001176
0.4574,7.184e-06,0.001596
0.5757,1.117e-05,0.001956
0.7245,1.738e-05,0.002369
0.9118,2.746e-05,0.002872
1.147,4.194e-05,0.00348
1.444,6.282e-05,0.004226
1.817,9.347e-05,0.005157
2.287,0.0001403,0.006345
2.878,0.0002191,0.007888
3.622,0.0003529,0.009902
4.559,0.0005715,0.01251
5.737,0.000924,0.01586
7.22,0.00148,0.02015
9.087,0.002338,0.02561
11.44,0.003657,0.03256
14.39,0.00569,0.0414
18.11,0.008824,0.05258
22.79,0.01373,0.06657
28.69,0.0215,0.0838
36.1,0.03406,0.1046
45.43,0.05455,0.1291
57.18,0.08774,0.1571
71.96,0.1392,0.1885
90.56,0.2134,0.2223
114,0.3093,0.2571
143.4,0.4219,0.2941
