Var1,Var2,Var3,Var4
shear rate [1/s],shear stress [Pa],viscosity [Pa s],Torque [μN m]
0.0101,0.0176,1.74,0.43
0.0105,0.0176,1.67,0.429
0.0108,0.018,1.67,0.44
0.0112,0.0182,1.63,0.446
0.0115,0.0185,1.6,0.452
0.0119,0.0188,1.58,0.461
0.0123,0.0191,1.55,0.466
0.0127,0.0195,1.54,0.477
0.0131,0.0199,1.52,0.486
0.0136,0.0198,1.46,0.485
0.014,0.0204,1.46,0.498
0.0144,0.0208,1.44,0.507
0.015,0.0206,1.37,0.502
0.0154,0.0212,1.38,0.519
0.0159,0.021,1.32,0.514
0.0165,0.0215,1.3,0.525
0.017,0.0215,1.27,0.526
0.0176,0.0218,1.24,0.534
0.0181,0.0221,1.22,0.539
0.0187,0.0222,1.19,0.543
0.0194,0.0226,1.17,0.552
0.02,0.0226,1.13,0.551
0.0206,0.0232,1.12,0.566
0.0213,0.0232,1.09,0.568
0.022,0.0234,1.07,0.573
0.0227,0.024,1.06,0.587
0.0235,0.0245,1.04,0.598
0.0242,0.025,1.03,0.61
0.0251,0.0242,0.966,0.592
0.0259,0.0238,0.921,0.582
0.0267,0.024,0.897,0.586
0.0276,0.0242,0.876,0.591
0.0285,0.0252,0.885,0.616
0.0294,0.0258,0.876,0.63
0.0304,0.0259,0.853,0.633
0.0314,0.0268,0.852,0.654
0.0324,0.0272,0.839,0.664
0.0335,0.0276,0.823,0.674
0.0346,0.0285,0.824,0.697
0.0358,0.0287,0.804,0.703
0.0369,0.0297,0.804,0.726
0.0381,0.0304,0.798,0.743
0.0394,0.0318,0.808,0.778
0.0407,0.0331,0.814,0.809
0.042,0.0326,0.776,0.796
0.0434,0.0341,0.787,0.834
0.0448,0.0349,0.779,0.853
0.0462,0.0354,0.766,0.865
0.0479,0.0347,0.726,0.849
0.0493,0.0355,0.72,0.868
0.051,0.035,0.686,0.855
0.0526,0.0353,0.671,0.863
0.0543,0.0352,0.648,0.861
0.0562,0.0343,0.61,0.838
0.058,0.0351,0.605,0.858
0.0599,0.0357,0.595,0.872
0.0619,0.0363,0.586,0.887
0.0639,0.037,0.58,0.905
0.066,0.037,0.561,0.905
0.0682,0.0376,0.552,0.92
0.0704,0.0389,0.552,0.95
0.0727,0.0386,0.531,0.944
0.075,0.0403,0.537,0.985
0.0777,0.0396,0.51,0.968
0.0801,0.0404,0.504,0.987
0.0828,0.0397,0.479,0.971
0.0855,0.0411,0.481,1
0.0882,0.0411,0.466,1
0.091,0.0425,0.467,1.04
