Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.643,0.00179,0.124,0.249
0.748,0.00146,0.073,0.181
0.863,0.00185,0.124,0.175
1.12,0.00275,0.141,0.202
1.33,0.00328,0.17,0.18
1.49,0.00407,0.184,0.202
1.59,0.00499,0.224,0.221
2.06,0.00558,0.188,0.195
2.64,0.00735,0.181,0.211
3.43,0.00949,0.218,0.169
3.91,0.0105,0.185,0.193
4.67,0.013,0.199,0.195
6.08,0.0159,0.185,0.184
7.33,0.0202,0.2,0.189
8.79,0.0243,0.193,0.197
11.1,0.029,0.183,0.187
13.2,0.0356,0.187,0.193
16.3,0.0431,0.185,0.189
19.6,0.0519,0.182,0.192
24.5,0.0649,0.184,0.191
29.9,0.0776,0.177,0.19
37.2,0.0949,0.171,0.189
46.1,0.116,0.166,0.189
57.6,0.14,0.157,0.185
72.6,0.171,0.147,0.183
93.7,0.209,0.133,0.179
122,0.254,0.115,0.174
160,0.31,0.0974,0.167
216,0.377,0.0767,0.157
299,0.459,0.0535,0.144
421,0.561,0.0332,0.129
597,0.681,0.0183,0.113
861,0.828,0.00803,0.0958
1270,1.01,0.00551,0.0798
