Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.2703,0.001313,0.4606,0.1545
0.2735,0.001713,0.3093,0.5446
0.4276,0.002231,0.4738,0.2183
0.3831,0.002584,0.5619,0.3731
0.633,0.003307,0.4845,0.1954
0.5936,0.0037,0.5677,0.2572
0.7556,0.004766,0.5662,0.2779
0.9825,0.006117,0.5225,0.3386
1.245,0.007299,0.4906,0.3212
1.502,0.009299,0.4863,0.383
1.868,0.01078,0.4505,0.3609
2.431,0.01336,0.4003,0.3763
3.002,0.01586,0.406,0.3381
3.488,0.0182,0.4161,0.3149
4.514,0.02402,0.4085,0.3411
5.353,0.02922,0.4191,0.3498
6.465,0.03517,0.4189,0.3469
7.977,0.04305,0.4227,0.3355
9.765,0.05232,0.4123,0.3421
12.06,0.06386,0.406,0.34
14.74,0.07816,0.4064,0.3407
17.93,0.09518,0.4072,0.3405
22.04,0.1161,0.4016,0.3408
26.85,0.1409,0.4001,0.3395
33.27,0.1718,0.3897,0.339
41.06,0.2092,0.3825,0.3367
50.94,0.2552,0.3711,0.3365
64.66,0.3114,0.348,0.333
82.43,0.3788,0.3218,0.3281
106.9,0.4603,0.2879,0.3199
143.7,0.5617,0.2417,0.3073
198.2,0.6824,0.1904,0.2868
282.2,0.8299,0.1397,0.2587
422,1.012,0.09197,0.2215
652.2,1.231,0.05421,0.1808
1042,1.504,0.03152,0.1409
1683,1.834,0.01815,0.1075
2291,2.239,0.005857,0.09757
3442,2.728,0.002066,0.07924
4956,3.324,0.003126,0.067
6948,4.074,0.002793,0.05857
9457,4.987,0.001626,0.05271
9546,5.027,0.001982,0.05262
9546,5.03,0.001943,0.05265
9547,5.038,0.00186,0.05274
9546,5.036,0.001841,0.05272
9547,5.034,0.001879,0.0527
9547,5.035,0.001828,0.0527
9546,5.034,0.001822,0.0527
