Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0,1.17
7.94,0.0546,0.816
6.31,0.149,0.654
5.01,0.31,0.555
3.98,0.401,0.503
3.16,0.434,0.454
2.51,0.436,0.415
2,0.416,0.377
1.58,0.396,0.349
1.26,0.371,0.322
1,0.339,0.298
0.794,0.307,0.275
0.631,0.281,0.25
0.501,0.253,0.229
0.398,0.223,0.208
0.316,0.198,0.188
0.251,0.172,0.17
0.2,0.152,0.154
0.158,0.132,0.14
0.126,0.114,0.125
0.1,0.0982,0.112
0.0794,0.0848,0.1
0.0631,0.0722,0.0894
0.0501,0.0612,0.0795
0.0398,0.0516,0.0705
0.0316,0.0431,0.062
0.0251,0.0357,0.0548
0.02,0.0296,0.048
0.0158,0.0243,0.042
0.0126,0.0195,0.0366
0.01,0.0157,0.0319
