Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.2703,3.254e-06,0.001181
0.3072,4.878e-06,0.00153
0.3492,6.64e-06,0.001883
0.3969,8.722e-06,0.002243
0.4511,1.136e-05,0.002618
0.5127,1.485e-05,0.003016
0.5828,1.952e-05,0.003436
0.6624,2.562e-05,0.003893
0.753,3.355e-05,0.004388
0.8558,4.34e-05,0.00493
0.9728,5.589e-05,0.005519
1.106,7.114e-05,0.00617
1.257,9.024e-05,0.006887
1.429,0.0001136,0.007686
1.624,0.0001425,0.008579
1.846,0.0001792,0.009586
2.098,0.0002255,0.01073
2.384,0.000287,0.01205
2.71,0.000367,0.01356
3.081,0.0004737,0.01532
3.502,0.0006145,0.01735
3.98,0.0007977,0.0197
4.524,0.001041,0.02244
5.142,0.001352,0.0256
5.845,0.00175,0.02926
6.643,0.002264,0.03348
7.551,0.002918,0.03836
8.583,0.003756,0.044
9.755,0.004841,0.05051
11.09,0.006209,0.058
12.6,0.007972,0.0666
14.33,0.01022,0.07646
16.28,0.01307,0.08769
18.51,0.01675,0.1004
21.04,0.02144,0.1148
23.91,0.0275,0.1309
27.18,0.03548,0.1488
30.89,0.04582,0.1687
35.11,0.05958,0.1906
39.91,0.07778,0.2143
45.37,0.1015,0.2401
51.57,0.1328,0.2676
58.61,0.1727,0.2971
66.62,0.2234,0.3279
75.72,0.2859,0.3603
86.07,0.3612,0.3936
97.83,0.4492,0.4281
111.2,0.5458,0.4615
126.4,0.6492,0.4952
143.7,0.7666,0.5336
