Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.0006004,0.002432,349.2,205.4
0.0006977,0.0007952,114,0
0.002578,0.001412,34.81,42.3
0.005658,0.001266,20.97,7.79
0.3737,0.001844,0,0.4935
0.5582,0.003289,0.3187,0.4955
0.6982,0.003459,0.2949,0.3981
0.8076,0.004344,0.3107,0.4391
1.005,0.005299,0.3915,0.3535
1.055,0.00627,0.4374,0.402
1.423,0.008138,0.4905,0.2943
1.739,0.008541,0.3705,0.3224
1.952,0.009786,0.3889,0.3164
2.422,0.01368,0.4513,0.3396
2.892,0.01508,0.4003,0.3339
3.619,0.01857,0.3605,0.3651
4.453,0.02426,0.4158,0.352
5.472,0.0288,0.4059,0.335
6.871,0.03548,0.3917,0.3364
8.25,0.04335,0.4109,0.3274
9.933,0.05214,0.4056,0.3331
12.15,0.06404,0.4073,0.3345
14.83,0.07801,0.4062,0.3342
18.01,0.09548,0.4081,0.3381
22.55,0.1156,0.393,0.3295
27.4,0.1411,0.3933,0.3323
33.61,0.1726,0.3888,0.3356
41.58,0.2091,0.3778,0.3319
52.04,0.2538,0.3603,0.3288
66.66,0.3113,0.3361,0.3241
86.1,0.3769,0.3003,0.3185
113.6,0.4622,0.266,0.3079
153.2,0.5591,0.2232,0.2888
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
