Var1,Var2,Var3,Var4
shear rate [1/s],shear stress [Pa],viscosity [Pa s],Torque [μN m]
0.0043,0.00475,1.1,0.346
0.00467,0.00501,1.07,0.358
0.00507,0.0057,1.12,0.371
0.0055,0.00631,1.15,0.385
0.00597,0.00671,1.13,0.4
0.00648,0.00656,1.02,0.415
0.00703,0.0074,1.05,0.432
0.00763,0.00741,0.967,0.449
0.00828,0.00793,0.959,0.467
0.00899,0.00816,0.908,0.487
0.00975,0.00853,0.873,0.507
0.0106,0.00952,0.899,0.529
0.0115,0.0106,0.925,0.552
0.0125,0.0114,0.918,0.577
0.0135,0.0123,0.911,0.603
0.0147,0.0138,0.94,0.63
0.0159,0.0151,0.948,0.66
0.0173,0.0154,0.891,0.69
0.0188,0.0154,0.817,0.723
0.0204,0.0172,0.843,0.758
0.0221,0.0195,0.884,0.794
0.024,0.0207,0.863,0.833
0.026,0.023,0.883,0.874
0.0283,0.0228,0.807,0.918
0.0307,0.0254,0.826,0.964
0.0333,0.0272,0.817,1.01
0.0361,0.0297,0.82,1.06
0.0392,0.0312,0.795,1.12
0.0425,0.0354,0.833,1.18
0.0462,0.0351,0.759,1.24
0.0501,0.0404,0.807,1.3
0.0544,0.0429,0.791,1.37
0.059,0.0444,0.752,1.44
0.0641,0.0482,0.752,1.51
0.0695,0.0519,0.747,1.59
0.0754,0.053,0.704,1.68
0.0819,0.0587,0.717,1.77
0.0889,0.0649,0.732,1.86
0.0964,0.0658,0.682,1.96
0.105,0.071,0.68,2.06
0.114,0.0763,0.673,2.17
0.123,0.08,0.649,2.28
0.134,0.0869,0.65,2.4
0.145,0.0911,0.628,2.52
0.158,0.0966,0.613,2.66
0.171,0.0954,0.558,2.79
0.186,0.102,0.549,2.94
0.201,0.103,0.512,3.09
0.219,0.111,0.508,3.25
0.237,0.117,0.493,3.41
0.257,0.12,0.467,3.59
0.279,0.122,0.435,3.77
0.303,0.128,0.423,3.96
0.329,0.136,0.415,4.15
0.357,0.14,0.391,4.36
0.388,0.144,0.372,4.57
0.421,0.148,0.352,4.8
0.457,0.159,0.348,5.03
0.495,0.162,0.327,5.28
0.538,0.169,0.314,5.53
0.584,0.176,0.301,5.79
0.633,0.183,0.289,6.07
0.687,0.188,0.273,6.35
0.746,0.197,0.264,6.65
0.809,0.205,0.253,6.96
0.879,0.212,0.242,7.28
0.953,0.223,0.234,7.61
1.03,0.229,0.221,7.96
1.12,0.241,0.214,8.31
1.22,0.249,0.204,8.68
1.32,0.258,0.195,9.07
1.44,0.267,0.186,9.47
1.56,0.277,0.178,9.88
1.69,0.288,0.17,10.3
1.83,0.297,0.162,10.8
1.99,0.308,0.155,11.2
2.16,0.321,0.149,11.7
2.35,0.332,0.142,12.2
2.55,0.344,0.135,12.7
2.76,0.355,0.128,13.2
3,0.366,0.122,13.8
3.25,0.377,0.116,14.3
3.53,0.39,0.11,14.9
3.83,0.402,0.105,15.5
4.16,0.418,0.1,16.2
4.51,0.434,0.0961,16.8
4.9,0.45,0.0919,17.5
5.32,0.458,0.0861,18.2
5.77,0.473,0.0819,18.9
6.26,0.492,0.0785,19.6
6.79,0.51,0.075,20.4
7.37,0.524,0.0711,21.2
8,0.543,0.0679,22
8.69,0.555,0.0639,22.9
9.43,0.58,0.0616,23.7
10.2,0.598,0.0585,24.7
11.1,0.609,0.0549,25.6
12,0.639,0.0531,26.6
13.1,0.65,0.0497,27.6
14.2,0.678,0.0478,28.6
15.4,0.695,0.0452,29.7
16.7,0.725,0.0433,30.9
18.1,0.73,0.0402,32
19.7,0.779,0.0396,33.2
21.4,0.789,0.0369,34.5
23.2,0.805,0.0347,35.8
25.2,0.852,0.0338,37.1
27.3,0.886,0.0325,38.5
29.6,0.93,0.0314,40
32.2,0.94,0.0293,41.5
34.9,0.99,0.0284,43.1
37.9,0.98,0.0259,44.7
41.1,1,0.0243,46.4
44.6,1.06,0.0238,48.1
48.4,1.07,0.022,49.9
52.6,1.08,0.0205,51.8
57,1.2,0.021,53.8
61.9,1.27,0.0205,55.8
67.2,1.3,0.0193,58
72.9,1.2,0.0164,60.2
79.1,1.23,0.0155,62.5
85.9,1.39,0.0162,64.9
93.2,1.56,0.0167,67.4
101,1.58,0.0157,70
110,1.61,0.0146,72.7
119,1.74,0.0147,75.5
129,1.78,0.0138,78.4
140,1.76,0.0126,81.4
152,1.87,0.0123,84.6
165,1.92,0.0116,87.9
179,1.91,0.0106,91.3
195,2.13,0.0109,94.9
211,2.27,0.0108,98.6
229,2.54,0.0111,103
249,2.58,0.0104,107
270,2.5,0.00931,111
293,2.64,0.00899,115
318,2.68,0.00842,120
345,3.11,0.00908,124
375,3.09,0.00826,129
407,2.73,0.00669,135
441,3.38,0.00765,140
479,3.33,0.00693,146
520,3.91,0.00752,151
564,3.84,0.00681,157
612,4.01,0.00655,164
664,4.37,0.00657,170
721,4.51,0.00625,177
782,4.48,0.00572,184
849,5.51,0.00649,191
921,5.24,0.00569,199
1000,5.32,0.00532,207
