Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
100,288000,0
79.4,173000,0
63.1,106000,0
50.1,64800,0
39.8,36600,0
31.6,21900,0
25.1,15200,128
20,8730,855
15.8,12.6,2.5
12.6,0,6.79
10,0,5.22
7.94,0,1.17
6.31,2.1,0.906
5.01,2.35,0.774
3.98,1.4,0.665
3.16,0.927,0.562
2.51,0.838,0.512
2,0.674,0.455
1.58,0.547,0.404
1.26,0.471,0.361
1,0.414,0.35
0.794,0.371,0.308
0.631,0.355,0.289
0.501,0.315,0.264
0.398,0.276,0.24
0.316,0.241,0.217
0.251,0.209,0.196
0.2,0.181,0.177
0.158,0.155,0.159
0.126,0.132,0.141
0.1,0.113,0.127
0.0794,0.0954,0.113
0.0631,0.081,0.1
0.0501,0.0682,0.0885
0.0398,0.0567,0.0779
0.0316,0.0467,0.0684
0.0251,0.0377,0.0598
0.02,0.0303,0.0519
0.0158,0.0236,0.0449
0.0126,0.0183,0.0386
0.01,0.0137,0.0329
