Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.0006004,1.46e-08,0.002432
0.0006977,5.548e-09,0.0007952
0.002578,3.642e-08,0.001412
0.005658,7.161e-08,0.001266
0.3737,6.89e-06,0.001844
0.5582,1.836e-05,0.003289
0.6982,2.415e-05,0.003459
0.8076,3.508e-05,0.004344
1.005,5.324e-05,0.005299
1.055,6.617e-05,0.00627
1.423,0.0001158,0.008138
1.739,0.0001485,0.008541
1.952,0.000191,0.009786
2.422,0.0003312,0.01368
2.892,0.000436,0.01508
3.619,0.0006719,0.01857
4.453,0.00108,0.02426
5.472,0.001576,0.0288
6.871,0.002438,0.03548
8.25,0.003576,0.04335
9.933,0.005179,0.05214
12.15,0.00778,0.06404
14.83,0.01157,0.07801
18.01,0.0172,0.09548
22.55,0.02607,0.1156
27.4,0.03865,0.1411
33.61,0.05803,0.1726
41.58,0.08696,0.2091
52.04,0.1321,0.2538
66.66,0.2075,0.3113
86.1,0.3245,0.3769
113.6,0.5251,0.4622
153.2,0.8563,0.5591
