Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.9757,0.003798,0.3245,0.2151
0.432,0.002242,0.1193,0.5051
0.7719,0.002929,0.2885,0.2466
1.056,0.003745,0.2257,0.2734
1.054,0.003889,0.2553,0.2665
1.304,0.004574,0.2886,0.1994
1.612,0.005785,0.3004,0.1963
1.949,0.007192,0.3068,0.205
2.423,0.008708,0.2783,0.2273
2.986,0.0103,0.2702,0.2147
3.78,0.01349,0.2646,0.2393
4.537,0.01582,0.2656,0.226
5.312,0.01987,0.2742,0.2543
6.714,0.02392,0.2692,0.2333
8.14,0.02897,0.2694,0.2327
9.914,0.03536,0.2732,0.2293
12.03,0.04307,0.2747,0.2297
14.86,0.05253,0.2679,0.2307
18.18,0.06421,0.2673,0.231
22.18,0.078,0.2675,0.2284
27.52,0.09497,0.2619,0.2248
33.49,0.1155,0.2553,0.2317
41.29,0.1413,0.255,0.2284
51.3,0.1711,0.2445,0.227
63.85,0.2082,0.2356,0.2255
81.38,0.256,0.2202,0.2246
104.7,0.3096,0.1989,0.2189
137.8,0.3766,0.1732,0.2115
188.5,0.4594,0.1386,0.2005
261.7,0.5579,0.1066,0.1846
371.1,0.6798,0.07977,0.1649
556.1,0.8307,0.0531,0.1396
835.6,1.006,0.03495,0.1153
1373,1.23,0.01456,0.08844
1801,1.505,0.001279,0.08356
