Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.9751,1.501e-05,0.001587
1.08,2.198e-05,0.001975
1.195,2.983e-05,0.0024
1.324,3.888e-05,0.002862
1.466,4.959e-05,0.003354
1.623,6.262e-05,0.003867
1.797,7.869e-05,0.004389
1.989,9.819e-05,0.004936
2.202,0.0001218,0.005519
2.439,0.00015,0.006144
2.7,0.0001837,0.006815
2.99,0.0002238,0.007543
3.31,0.0002722,0.008333
3.665,0.0003305,0.009199
4.058,0.0004035,0.01015
4.493,0.000492,0.0112
4.975,0.000604,0.01237
5.508,0.0007412,0.01367
6.099,0.0009134,0.01512
6.752,0.001124,0.01673
7.476,0.001387,0.01854
8.278,0.001707,0.02055
9.165,0.002105,0.0228
10.15,0.002583,0.02531
11.24,0.003172,0.02812
12.44,0.003876,0.03125
13.77,0.00474,0.03474
15.25,0.005771,0.03864
16.89,0.007034,0.04299
18.7,0.008541,0.04785
20.7,0.01039,0.05325
22.92,0.0126,0.05925
25.38,0.01535,0.06591
28.1,0.01867,0.07327
31.11,0.02284,0.08138
34.45,0.02796,0.09031
38.14,0.03446,0.1
42.23,0.0425,0.1107
46.76,0.05279,0.1221
51.77,0.06549,0.1345
57.32,0.0816,0.1477
63.47,0.1012,0.1619
70.27,0.1254,0.1767
77.81,0.154,0.1923
86.15,0.1881,0.2085
95.38,0.227,0.2253
105.6,0.2712,0.2424
116.9,0.3179,0.259
129.5,0.3679,0.2762
143.3,0.4231,0.2952
