Var1,Var2,Var3,Var4
shear rate [1/s],shear stress [Pa],viscosity [Pa s],Torque [μN m]
0.0101,0.00523,0.516,0.128
0.0105,0.00542,0.517,0.132
0.0108,0.0057,0.528,0.139
0.0112,0.00566,0.506,0.138
0.0115,0.00597,0.517,0.146
0.0119,0.00616,0.517,0.151
0.0123,0.00628,0.51,0.153
0.0127,0.00666,0.525,0.163
0.0131,0.00683,0.521,0.167
0.0136,0.00679,0.5,0.166
0.014,0.00681,0.485,0.166
0.0145,0.00727,0.503,0.178
0.0149,0.00756,0.507,0.185
0.0154,0.00786,0.51,0.192
0.0159,0.0078,0.489,0.191
0.0165,0.00834,0.506,0.204
0.017,0.00838,0.493,0.205
0.0176,0.00854,0.486,0.209
0.0181,0.00888,0.49,0.217
0.0187,0.00936,0.5,0.229
0.0193,0.00968,0.501,0.237
0.02,0.00976,0.489,0.239
0.0206,0.0105,0.509,0.256
0.0213,0.0106,0.495,0.258
0.022,0.0105,0.475,0.256
0.0228,0.011,0.483,0.269
0.0235,0.0113,0.481,0.276
0.0242,0.0117,0.484,0.287
0.0251,0.0118,0.47,0.288
0.0259,0.0125,0.483,0.305
0.0267,0.0131,0.49,0.32
0.0276,0.0135,0.489,0.329
0.0285,0.0138,0.484,0.337
0.0294,0.0142,0.482,0.346
0.0304,0.0147,0.484,0.359
0.0314,0.0154,0.492,0.377
0.0324,0.0159,0.492,0.389
0.0335,0.0162,0.483,0.396
0.0346,0.0171,0.493,0.417
0.0357,0.0172,0.481,0.42
0.0369,0.0177,0.479,0.432
0.0381,0.0177,0.465,0.434
0.0394,0.019,0.482,0.464
0.0406,0.0198,0.487,0.484
0.042,0.0192,0.458,0.47
0.0433,0.0206,0.475,0.503
0.0448,0.021,0.469,0.514
0.0463,0.0212,0.457,0.517
0.0478,0.0223,0.467,0.545
0.0494,0.0229,0.464,0.56
0.051,0.0237,0.465,0.58
0.0526,0.0247,0.47,0.605
0.0544,0.0247,0.455,0.605
0.0562,0.0253,0.45,0.618
0.058,0.0259,0.446,0.633
0.0599,0.027,0.451,0.66
0.0619,0.0277,0.447,0.677
0.0639,0.0286,0.448,0.699
0.066,0.0296,0.449,0.723
0.0682,0.03,0.439,0.732
0.0704,0.0314,0.446,0.767
0.0727,0.0321,0.441,0.783
0.0751,0.034,0.452,0.83
0.0776,0.0344,0.443,0.84
0.0801,0.0346,0.432,0.846
0.0828,0.0357,0.431,0.872
0.0854,0.0382,0.447,0.933
0.0882,0.0388,0.44,0.948
0.0911,0.0396,0.435,0.969
0.0941,0.0397,0.422,0.97
0.0972,0.0421,0.433,1.03
0.1,0.0435,0.434,1.06
0.104,0.0437,0.421,1.07
0.107,0.0437,0.408,1.07
0.111,0.0462,0.417,1.13
0.114,0.0465,0.407,1.14
0.118,0.0473,0.401,1.16
0.122,0.049,0.402,1.2
0.126,0.0501,0.398,1.22
0.13,0.0517,0.398,1.26
0.134,0.053,0.394,1.29
0.139,0.053,0.382,1.3
0.143,0.0551,0.385,1.35
0.148,0.0558,0.377,1.36
0.153,0.0567,0.371,1.39
0.158,0.0565,0.358,1.38
0.163,0.0597,0.366,1.46
0.168,0.063,0.375,1.54
0.174,0.0607,0.349,1.48
0.18,0.0635,0.353,1.55
0.186,0.065,0.35,1.59
0.192,0.0661,0.345,1.62
0.198,0.0675,0.341,1.65
0.204,0.0692,0.338,1.69
0.211,0.073,0.346,1.78
0.218,0.0721,0.331,1.76
0.225,0.0755,0.335,1.84
0.233,0.0745,0.32,1.82
0.24,0.0768,0.32,1.88
0.248,0.0776,0.313,1.9
0.256,0.0787,0.307,1.92
0.265,0.0811,0.307,1.98
0.274,0.081,0.296,1.98
0.282,0.0849,0.301,2.08
0.292,0.0831,0.285,2.03
0.301,0.0873,0.29,2.13
0.311,0.0884,0.284,2.16
0.322,0.0884,0.275,2.16
0.332,0.0906,0.273,2.21
0.343,0.0936,0.273,2.29
0.354,0.0945,0.267,2.31
0.366,0.0943,0.258,2.31
0.378,0.097,0.257,2.37
0.39,0.0984,0.252,2.4
0.403,0.101,0.252,2.48
0.416,0.103,0.247,2.52
0.43,0.102,0.237,2.49
0.444,0.104,0.234,2.54
0.458,0.107,0.234,2.63
0.474,0.107,0.225,2.61
0.489,0.11,0.224,2.68
0.505,0.11,0.218,2.69
0.522,0.113,0.217,2.76
0.539,0.113,0.21,2.77
0.556,0.116,0.209,2.84
0.575,0.117,0.203,2.85
0.594,0.119,0.2,2.9
0.613,0.12,0.196,2.94
0.633,0.123,0.195,3.02
0.654,0.126,0.193,3.08
0.675,0.128,0.19,3.13
0.698,0.13,0.186,3.17
0.721,0.131,0.182,3.21
0.744,0.134,0.18,3.28
0.769,0.135,0.175,3.29
0.794,0.138,0.174,3.38
0.82,0.141,0.172,3.45
0.847,0.141,0.167,3.46
0.875,0.144,0.164,3.52
0.903,0.147,0.163,3.6
0.933,0.15,0.16,3.66
0.963,0.154,0.159,3.75
0.995,0.153,0.154,3.73
1.03,0.154,0.15,3.76
1.06,0.157,0.148,3.84
1.1,0.158,0.144,3.85
1.13,0.162,0.143,3.96
1.17,0.162,0.139,3.97
1.21,0.166,0.138,4.06
1.25,0.171,0.137,4.17
1.29,0.174,0.135,4.26
1.33,0.175,0.132,4.29
1.37,0.178,0.13,4.35
1.42,0.181,0.127,4.42
1.47,0.185,0.126,4.51
1.51,0.186,0.123,4.54
1.56,0.191,0.122,4.66
1.62,0.192,0.119,4.7
1.67,0.195,0.117,4.76
1.72,0.199,0.115,4.86
1.78,0.199,0.112,4.86
1.84,0.202,0.11,4.94
1.9,0.207,0.109,5.07
1.96,0.211,0.107,5.15
2.03,0.212,0.105,5.18
