Var1,Var2,Var3
frequency [Hz],storage modulus [Pa],loss modulus [Pa]
10,0.592,1.3
7.94,0.633,0.79
6.31,0.632,0.572
5.01,0.446,0.466
3.98,0.408,0.402
3.16,0.365,0.352
2.51,0.329,0.316
2,0.29,0.284
1.58,0.26,0.258
1.26,0.242,0.23
1,0.212,0.209
0.794,0.192,0.195
0.631,0.172,0.173
0.501,0.15,0.157
0.398,0.132,0.141
0.316,0.114,0.126
0.251,0.0975,0.112
0.2,0.0842,0.1
0.158,0.0715,0.0892
0.126,0.0606,0.079
0.1,0.0506,0.0698
0.0794,0.0425,0.0615
0.0631,0.0347,0.0541
0.0501,0.0283,0.0472
0.0398,0.0227,0.041
0.0316,0.0179,0.0354
0.0251,0.014,0.0304
0.02,0.0109,0.0261
0.0158,0.00842,0.0222
0.0126,0.00636,0.0188
0.01,0.00456,0.0157
