"x","z","t",
152.3885,70.4649,0,
152.3056,72.7888,0.028,
152.3594,75.1246,0.045,
152.3396,77.4471,0.077,
152.2612,79.9814,0.091,
152.2428,82.1835,0.119,
152.2264,84.2679,0.144,
152.2405,86.5136,0.159,
152.3266,88.8836,0.178,
152.4331,91.3376,0.2,
152.4135,93.5734,0.229,
152.3749,96.0439,0.255,
152.5504,98.3328,0.274,
152.5138,100.7251,0.289,
152.433,103.0783,0.318,
152.5214,105.4496,0.341,
152.7037,107.9326,0.365,
152.8591,110.3142,0.386,
152.8013,112.7699,0.4,
152.8695,115.1291,0.429,
152.9566,117.6438,0.452,
152.9483,119.999,0.467,
153.1627,122.553,0.499,
153.2453,124.9156,0.511,
153.2402,127.1927,0.543,
153.1743,129.5614,0.564,
153.117,131.8659,0.578,
153.1569,134.0221,0.609,
153.1657,136.3988,0.622,
153.3559,138.7219,0.653,
153.3343,141.0622,0.678,
153.4518,143.5607,0.69,
153.454,145.9718,0.722,
153.6548,148.4369,0.734,
153.4979,150.8876,0.767,
153.4864,153.0948,0.778,
153.5154,155.4967,0.81,
153.49,157.8198,0.832,
153.2274,160.2573,0.847,
153.1539,162.5461,0.876,
153.1292,165.0003,0.889,
153.0667,167.1673,0.911,
153.1538,169.5578,0.941,
153.3038,171.9077,0.964,
153.3523,174.2016,0.979,
153.3998,176.4754,1.011,
153.5529,178.9922,1.023,
153.6487,181.1827,1.054,
153.6495,183.4902,1.077,
153.6361,185.6947,1.09,
153.7064,188.0568,1.115,
153.6999,190.3671,1.134,
153.6986,192.399,1.165,
153.6005,194.8909,1.178,
153.7034,197.0494,1.208,
153.6959,199.436,1.233,
153.6801,201.7663,1.249,
153.6135,204.1423,1.277,
153.7002,206.4486,1.289,
153.6234,208.6815,1.318,
153.7199,210.9501,1.346,
153.7412,213.3043,1.363,
153.8065,215.7544,1.378,
153.7335,217.9851,1.407,
153.7653,220.4695,1.432,
153.7429,222.6702,1.455,
153.6947,225.1674,1.475,
153.5355,227.7873,1.489,
153.6688,230.0689,1.511,
153.4728,232.3865,1.541,
153.6036,234.4522,1.556,
153.6701,236.8431,1.587,
153.5963,239.0055,1.6,
153.5347,241.3041,1.631,
153.6126,243.5438,1.655,
153.5635,245.956,1.667,
153.5095,248.2322,1.689,
153.4488,250.3827,1.723,
153.6237,252.7546,1.734,
153.5633,254.9237,1.756,
153.5312,257.2959,1.787,
153.6687,259.1791,1.8,
153.5971,261.5675,1.822,
153.6141,263.7184,1.848,
153.5239,266.0973,1.876,
153.5385,268.3736,1.893,
153.7452,270.6249,1.921,
153.6352,273.1363,1.937,
153.6245,275.4781,1.967,
153.7632,277.8662,1.978,
153.7487,280.2254,2.011,
153.8456,282.3907,2.022,
153.851,284.7676,2.05,
153.993,286.8442,2.079,
153.9074,289.1556,2.089,
153.904,291.4123,2.12,
154.0792,293.7142,2.133,
154.0579,295.9716,2.163,
154.1303,298.2582,2.189,
154.2142,300.6564,2.201,
154.2727,302.9843,2.23,
154.2913,305.2583,2.244,
154.3123,307.666,2.272,
154.3752,309.982,2.299,
154.4281,312.0196,2.313,
154.4734,314.4243,2.345,
154.5795,316.6173,2.357,
154.6355,319.0315,2.387,
154.5949,321.3743,2.4,
154.5352,323.6962,2.432,
154.6056,325.9642,2.455,
154.411,328.4067,2.471,
154.4505,330.8005,2.5,
154.4115,333.0366,2.511,
154.3669,335.3757,2.542,
154.3624,337.7918,2.568,
154.5216,340.0761,2.586,
154.557,342.2828,2.6,
154.3673,344.4511,2.629,
154.5174,346.9961,2.657,
154.5632,349.3592,2.679,
154.5297,351.589,2.698,
154.6479,353.8083,2.711,
154.6383,356.1669,2.739,
154.6532,358.6784,2.764,
154.5156,361.0891,2.778,
154.5703,363.1714,2.809,
154.5903,365.3807,2.822,
154.5631,367.5846,2.853,
154.6008,370.1375,2.876,
154.6222,372.4818,2.89,
154.8725,374.6797,2.921,
154.9013,376.9585,2.934,
154.7981,379.5255,2.965,
