"x","z","t",
102.7155,100.8239,0,
102.8326,103.7952,0.066,
102.8192,106.5863,0.149,
102.7583,109.4996,0.215,
102.6687,112.2465,0.281,
102.8536,115.389,0.345,
102.6297,118.7656,0.413,
102.7765,121.9795,0.466,
102.6177,125.1847,0.547,
102.4184,128.0669,0.614,
102.5586,131.4934,0.666,
102.4947,134.4642,0.738,
102.5287,137.4926,0.8,
102.3781,140.7121,0.866,
102.4467,143.6959,0.933,
102.1281,146.7018,1,
102.2258,149.7359,1.072,
102.1169,152.9625,1.133,
101.9396,156.3159,1.207,
101.8802,159.4757,1.267,
101.7598,162.4959,1.337,
101.6644,165.6032,1.4,
101.7521,168.7538,1.47,
101.7161,171.7526,1.533,
101.5517,174.7103,1.601,
101.6349,177.9325,1.666,
101.4979,180.9888,1.733,
101.6069,183.9597,1.805,
101.443,187.2131,1.866,
101.3054,190.3858,1.934,
101.4733,193.4828,2.01,
101.604,196.5916,2.066,
101.4135,199.4676,2.133,
101.7895,202.7303,2.2,
101.881,205.4207,2.266,
101.8016,208.6046,2.333,
101.7913,211.5947,2.4,
101.8066,214.4603,2.469,
101.6738,217.8829,2.548,
101.5975,220.9834,2.608,
101.7213,223.8022,2.673,
101.6797,226.8641,2.741,
101.7661,229.9014,2.803,
101.6792,233.0035,2.867,
101.7661,236.0202,2.936,
101.7655,239.0868,3.012,
101.8556,242.0882,3.069,
101.8094,245.0427,3.133,
101.6945,248.2164,3.199,
101.647,251.6009,3.271,
101.6747,254.8382,3.341,
101.671,257.7745,3.408,
101.4674,260.9492,3.466,
101.4069,264.0948,3.535,
101.3847,267.0638,3.599,
101.5015,270.111,3.666,
101.3941,273.7137,3.734,
101.4782,276.9656,3.808,
101.5201,280.1232,3.866,
101.4598,283.1972,3.933,
101.6383,286.4201,4,
101.607,289.7135,4.071,
101.7388,293.2167,4.133,
101.9316,296.5292,4.199,
102.0543,299.6902,4.266,
102.2064,302.9373,4.339,
102.1524,306.351,4.399,
102.1534,309.5173,4.466,
102.1313,312.5579,4.539,
102.3305,315.6956,4.599,
102.3158,318.8702,4.668,
102.1574,322.2324,4.735,
102.108,325.4072,4.8,
102.1639,328.7826,4.866,
102.2675,332.1972,4.933,
102.2302,335.3283,4.999,
102.2244,338.4573,5.071,
102.2666,341.3638,5.136,
102.1023,344.7069,5.199,
102.0528,347.9069,5.266,
102.2182,351.19,5.335,
102.0589,354.3938,5.4,
102.0351,357.7633,5.466,
101.9674,360.9589,5.533,
101.9902,363.9079,5.6,
101.878,367.3031,5.666,
101.8573,370.4143,5.733,
101.8039,373.658,5.799,
101.7379,377.0673,5.871,
101.7913,380.1799,5.938,
101.9795,383.4791,6,
101.8739,386.9417,6.081,
101.8926,390.1982,6.141,
101.5477,393.5271,6.205,
101.8208,396.7085,6.281,
101.813,399.7903,6.347,
101.6413,403.0157,6.414,
101.3508,406.0937,6.481,
101.3601,409.4805,6.543,
101.5326,412.814,6.599,
101.5645,416.0204,6.666,
101.6786,419.2217,6.733,
101.6726,422.651,6.803,
101.7533,425.8297,6.866,
101.6897,429.027,6.935,
101.6097,432.013,7.008,
101.432,435.1598,7.073,
101.5771,438.3784,7.133,
101.5474,441.4912,7.199,
101.4721,444.6336,7.266,
101.3578,447.7048,7.339,
101.2405,450.9837,7.404,
101.32,453.994,7.483,
101.2617,457.0039,7.546,
101.1377,460.0821,7.611,
100.894,463.2889,7.68,
100.8677,466.2167,7.744,
100.9212,469.1731,7.799,
101.0444,472.1552,7.881,
100.8548,474.8602,7.94,
100.8489,477.9047,8.015,
100.7798,480.8479,8.082,
100.8253,484.1219,8.144,
100.6524,487.085,8.213,
100.7667,489.7223,8.284,
100.9245,492.6711,8.344,
101.1507,495.5726,8.416,
101.2046,498.6369,8.483,
101.0898,502.0211,8.548,
101.0132,504.6737,8.6,
100.9703,507.6288,8.666,
101.0175,510.6499,8.742,
101.1439,513.5571,8.801,
100.9193,516.4291,8.876,
101.1454,519.2322,8.941,
101.2133,522.5839,9.012,
101.0974,525.7326,9.077,
101.2102,528.6726,9.135,
101.2603,531.683,9.204,
101.1867,534.6121,9.266,
101.0907,537.7314,9.335,
101.1861,540.837,9.399,
101.1275,544.0532,9.467,
101.252,546.9083,9.542,
101.2483,550.0454,9.607,
101.4153,553.052,9.682,
101.4711,556.4472,9.746,
101.6328,559.7249,9.816,
101.73,562.9203,9.879,
101.7033,565.9756,9.942,
101.7851,569.1287,10.013,
101.7304,572.2816,10.083,
101.635,575.6009,10.142,
101.7437,578.8145,10.208,
101.7277,582.1702,10.268,
101.8135,585.3169,10.336,
101.7897,588.5149,10.399,
101.7249,591.6586,10.466,
101.4277,595.0924,10.533,
101.5784,598.3051,10.611,
101.5581,601.5611,10.671,
101.6177,604.6627,10.74,
101.4666,607.9519,10.805,
101.3887,611.1702,10.866,
101.3367,614.4013,10.936,
101.2007,617.6742,11.011,
101.1123,620.8528,11.067,
101.1641,623.9776,11.133,
101.0637,626.8968,11.205,
101.0872,629.8946,11.266,
101.036,633.0835,11.34,
101.0085,636.2579,11.408,
100.9739,639.3296,11.466,
101.1157,642.4294,11.533,
101.0835,645.6053,11.599,
101.031,648.6513,11.666,
101.0727,651.563,11.733,
101.0069,654.6072,11.806,
