"x","z","t",
81.5856,67.9635,0,
81.5851,71.0473,0.012,
81.5446,74.0683,0.019,
81.7449,77.2949,0.022,
81.9553,80.175,0.029,
82.0273,83.2178,0.038,
82.0009,86.3173,0.049,
82.2283,89.1799,0.057,
82.2802,92.0175,0.063,
82.471,94.9458,0.076,
82.4796,97.728,0.082,
82.2863,100.6143,0.089,
82.4204,103.6043,0.096,
82.3853,106.4438,0.106,
82.5752,109.327,0.113,
82.4954,112.2824,0.134,
82.5622,115.0748,0.136,
82.7525,117.6641,0.137,
82.6226,120.6952,0.146,
82.7979,123.572,0.154,
82.7587,126.7244,0.163,
82.8413,129.5124,0.178,
82.7274,132.1954,0.182,
82.9522,135.1557,0.187,
82.9687,138.1937,0.196,
83.1449,140.9084,0.204,
83.2162,143.8529,0.213,
83.4981,146.7261,0.231,
83.737,149.3311,0.235,
83.8394,152.5619,0.238,
84.0953,155.093,0.246,
84.3329,158.363,0.259,
84.486,161.1302,0.267,
84.6488,164.1326,0.271,
84.8188,167.047,0.279,
84.672,170.1927,0.305,
84.9219,172.9187,0.309,
85.0442,175.9267,0.31,
85.3709,178.8886,0.312,
85.4548,181.7934,0.321,
85.6515,184.6918,0.33,
85.727,187.7967,0.338,
85.7693,190.6428,0.352,
85.9459,193.5649,0.356,
85.9475,196.7259,0.363,
86.2056,200.0148,0.371,
86.1225,202.9196,0.388,
86.0961,208.9477,0.396,
86.2122,211.7522,0.404,
86.1185,214.8076,0.413,
85.91,217.4121,0.421,
86.0915,220.5397,0.429,
85.8936,223.3059,0.437,
85.7156,226.37,0.446,
85.8677,229.2763,0.454,
86.0222,232.2518,0.469,
85.9056,235.4788,0.472,
85.8932,238.7335,0.479,
85.9185,241.8739,0.488,
85.8357,244.7238,0.505,
85.7557,247.9265,0.508,
85.8312,251.0904,0.515,
85.9302,254.3708,0.522,
86.1445,257.5513,0.529,
86.0888,260.3938,0.538,
86.2783,263.5274,0.546,
86.3295,266.8419,0.554,
86.3512,270.3164,0.566,
86.2312,273.4832,0.574,
86.354,276.7121,0.579,
86.4116,280.0087,0.587,
86.4967,283.3203,0.601,
86.3846,286.7815,0.607,
86.3366,290.0567,0.617,
86.4879,293.6337,0.621,
86.4991,297.1456,0.629,
86.7249,300.5502,0.638,
86.8662,304.0543,0.646,
86.942,307.5786,0.654,
86.9822,314.8449,0.673,
87.0344,318.54,0.679,
87.0302,322.0864,0.688,
87.0646,325.6912,0.696,
87.2442,329.311,0.714,
87.2564,332.9565,0.725,
87.3853,336.646,0.734,
87.739,340.2805,0.735,
88.1233,343.9383,0.738,
88.1439,347.7817,0.746,
88.128,351.4701,0.764,
88.0552,355.2095,0.77,
88.2915,358.7258,0.771,
88.2799,362.3142,0.779,
88.1293,365.9391,0.796,
88.0678,369.4869,0.803,
88.1608,373.0037,0.805,
88.1552,376.6746,0.813,
88.3599,380.3322,0.827,
88.3405,384.1745,0.834,
88.4018,387.6818,0.838,
88.7447,391.4668,0.85,
88.8426,395.1784,0.854,
88.7718,398.9193,0.863,
89.1155,403.1254,0.883,
89.0226,406.6799,0.885,
89.2021,410.2063,0.887,
89.2481,413.8369,0.896,
89.2204,417.6019,0.916,
89.3392,421.1279,0.922,
89.3551,424.9301,0.923,
89.2777,428.8928,0.929,
89.3732,432.6841,0.941,
89.7383,436.402,0.957,
89.8096,439.9509,0.961,
89.9295,443.5989,0.963,
90.1711,447.5872,0.971,
90.3015,451.438,0.979,
90.5065,455.231,0.997,
90.7632,459.0326,0.998,
90.7202,462.9232,1.004,
90.9046,466.6737,1.019,
91.0252,470.5294,1.023,
91.447,474.1975,1.03,
91.6202,478.3454,1.041,
91.5527,482.3991,1.046,
91.7444,486.5047,1.054,
91.8264,490.4839,1.066,
92.0747,494.2814,1.074,
92.247,498.616,1.079,
92.3156,502.8714,1.087,
92.4232,506.9157,1.102,
92.3307,510.8649,1.105,
92.3741,514.5598,1.112,
92.1549,518.3238,1.121,
92.1859,522.4408,1.136,
92.167,526.4238,1.139,
92.2291,530.4419,1.148,
92.3313,534.3658,1.157,
92.2309,538.6727,1.163,
92.4266,542.7131,1.171,
91.9571,546.7435,1.186,
91.9292,550.669,1.192,
91.8483,554.1675,1.196,
91.5533,557.9646,1.204,
91.5547,561.8357,1.219,
91.5562,565.3811,1.222,
91.4167,569.3304,1.23,
91.2642,573.0415,1.242,
91.1125,577.336,1.251,
90.89,581.2993,1.261,
90.8484,585.4341,1.265,
90.6876,589.7081,1.271,
90.7021,593.9184,1.279,
90.5103,598.1529,1.288,
90.4615,602.1563,1.296,
90.3595,606.0178,1.315,
90.2165,613.8714,1.331,
90.273,617.9916,1.332,
90.3391,622.2312,1.337,
90.4818,626.4582,1.346,
90.3944,630.6412,1.354,
90.5375,634.9516,1.363,
90.8433,639.138,1.375,
91.0193,643.2072,1.382,
91.0788,647.1046,1.387,
91.1945,651.007,1.396,
91.3734,655.0632,1.409,
91.5931,659.0999,1.418,
91.9221,662.7235,1.423,
91.9507,666.9629,1.431,
92.3364,670.5939,1.438,
92.1677,674.7738,1.446,
92.4185,678.6916,1.458,
92.516,682.8429,1.467,
92.5888,686.7623,1.471,
92.6756,690.9963,1.479,
92.6594,695.0009,1.496,
92.527,698.9016,1.499,
92.3722,702.9442,1.504,
92.5131,706.9596,1.513,
92.6468,710.9848,1.522,
92.7308,715.2373,1.537,
92.8251,719.3668,1.543,
92.6975,723.533,1.546,
92.7181,727.5148,1.554,
92.8841,731.4798,1.569,
92.6969,735.286,1.579,
92.8074,739.4514,1.58,
92.6478,743.6104,1.588,
92.7361,747.8097,1.606,
93.0076,752.1686,1.617,
93.0235,756.508,1.618,
93.159,760.7524,1.621,
93.2551,764.7588,1.636,
93.2662,769.138,1.641,
93.2684,773.1986,1.655,
93.5056,777.4154,1.659,
93.6031,781.5042,1.662,
93.5972,785.479,1.671,
93.4192,789.7087,1.686,
93.4847,793.7262,1.693,
93.5975,797.5288,1.696,
93.5932,801.7071,1.704,
93.6417,805.8441,1.725,
93.5,809.5896,1.731,
93.4674,813.7419,1.732,
93.4328,817.7092,1.738,
93.6412,821.4998,1.746,
93.8141,825.5476,1.754,
93.6705,829.5035,1.773,
93.4064,833.6251,1.775,
93.4074,837.5548,1.779,
93.3076,841.2189,1.787,
93.37,845.0891,1.806,
93.353,848.8134,1.807,
93.4345,852.7691,1.812,
93.5908,856.5969,1.823,
93.594,860.5107,1.829,
93.8014,864.5543,1.849,
93.6729,868.7621,1.854,
93.6795,872.5633,1.855,
93.7126,876.7042,1.863,
93.6874,880.5552,1.879,
93.691,884.3383,1.882,
93.6519,888.5268,1.888,
93.567,892.0598,1.896,
93.8435,895.6485,1.911,
93.705,899.1501,1.915,
93.7229,902.8605,1.924,
93.6735,906.6029,1.929,
93.6533,910.669,1.94,
93.9391,914.8279,1.953,
93.6725,918.4609,1.958,
93.7395,922.3679,1.963,
93.8418,926.0311,1.971,
93.6777,929.5777,1.979,
93.426,933.4194,1.997,
93.4484,936.9256,1.998,
93.3533,940.3958,2.004,
93.4509,943.9343,2.012,
93.5735,947.7758,2.029,
93.8093,951.368,2.032,
93.7084,955.3744,2.044,
93.8684,959.0651,2.046,
94.1039,962.2937,2.054,
94.1956,965.8193,2.069,
94.2792,969.2295,2.072,
94.6221,972.7296,2.08,
94.5907,976.2707,2.087,
94.9085,979.7916,2.102,
95.0836,983.4239,2.109,
95.1896,987.0385,2.112,
95.3821,990.5637,2.121,
95.5168,994.0114,2.129,
95.3806,997.5864,2.137,
95.3577,1001.206,2.157,
95.5686,1004.7984,2.16,
95.6742,1008.8105,2.163,
96.0605,1012.8567,2.171,
96.1928,1016.4403,2.186,
96.4185,1020.0895,2.19,
96.5386,1023.582,2.196,
96.6329,1027.348,2.204,
96.5822,1030.8899,2.219,
97.0032,1034.4099,2.221,
97.0973,1038.0432,2.23,
97.0825,1041.6584,2.244,
97.3977,1045.2405,2.25,
97.2944,1049.0403,2.259,
97.2656,1052.6594,2.266,
97.2539,1056.6377,2.271,
97.3289,1060.2635,2.279,
97.4917,1064.0643,2.288,
97.4837,1067.6855,2.302,
97.1856,1071.0848,2.304,
97.1704,1074.7268,2.312,
97.108,1078.313,2.329,
96.9142,1081.9065,2.335,
96.7197,1085.4508,2.338,
96.4587,1089.0067,2.346,
96.2383,1092.3437,2.361,
96.1365,1096.1546,2.365,
96.0559,1099.8878,2.378,
95.9977,1103.2259,2.382,
95.7831,1106.5452,2.388,
95.6426,1110.0214,2.396,
95.4781,1113.3702,2.414,
95.1826,1117.128,2.416,
94.9686,1120.4945,2.421,
