"x","z","t",
104.7689,88.9262,0,
105.3031,103.0082,0.012,
105.2401,117.5618,0.019,
105.1998,132.0282,0.033,
105.7293,146.3464,0.034,
105.81,161.0435,0.042,
106.1718,175.8618,0.058,
106.4492,190.492,0.067,
107.0545,205.4755,0.068,
107.1775,219.7619,0.075,
107.4179,234.1474,0.084,
107.5666,249.0286,0.092,
107.8566,263.7238,0.107,
107.9167,278.1879,0.114,
107.8052,292.84,0.123,
108.1309,307.7951,0.129,
108.2242,322.312,0.134,
108.4992,336.7957,0.142,
108.8346,351.3548,0.153,
108.8533,366.4719,0.163,
109.2177,381.2632,0.167,
109.755,395.9799,0.175,
110.6767,410.9664,0.19,
110.8142,426.2615,0.196,
111.1776,440.9222,0.2,
111.8647,455.8815,0.209,
112.0113,470.885,0.225,
112.5735,485.9492,0.233,
112.7991,500.924,0.24,
112.9536,515.965,0.243,
113.2402,531.1567,0.25,
113.891,546.3299,0.259,
114.4996,561.1416,0.267,
114.7515,576.2365,0.276,
115.1116,591.2722,0.284,
115.6241,606.4277,0.302,
115.7921,621.5455,0.307,
116.4748,636.3727,0.312,
116.593,651.884,0.321,
117.1402,666.3983,0.326,
117.3157,681.9361,0.334,
117.6259,696.9586,0.355,
117.7657,712.0625,0.357,
118.1356,727.2664,0.359,
118.3899,742.4139,0.367,
119.2021,757.0717,0.376,
119.2805,772.2928,0.384,
119.3406,787.1057,0.392,
119.9749,802.2319,0.4,
120.4958,817.0913,0.416,
120.6736,831.9505,0.42,
120.927,846.6696,0.431,
121.0623,861.474,0.436,
121.0523,876.0699,0.442,
120.9054,890.5913,0.45,
120.8263,905.1476,0.464,
120.971,919.2669,0.469,
120.9436,933.6589,0.475,
121.1376,948.256,0.488,
121.0148,962.0242,0.495,
121.3972,975.926,0.502,
121.6622,990.4245,0.509,
122.0358,1004.6628,0.517,
122.1169,1019.1131,0.533,
122.1328,1033.5964,0.536,
122.0828,1047.2021,0.549,
122.1449,1061.4175,0.55,
122.7579,1075.7875,0.559,
123.2447,1089.852,0.575,
123.851,1104.6389,0.583,
123.8193,1119.0469,0.584,
123.7267,1133.1898,0.592,
124.0237,1147.5175,0.613,
124.5592,1162.0348,0.615,
124.6088,1175.9755,0.617,
124.8478,1190.263,0.625,
124.987,1204.3847,0.634,
125.2473,1218.8227,0.642,
125.2947,1232.5132,0.657,
125.5846,1246.3936,0.663,
125.3161,1260.459,0.667,
125.7873,1274.603,0.675,
126.1433,1288.6449,0.689,
126.0322,1302.2584,0.696,
126.2211,1316.5195,0.7,
126.1636,1330.5156,0.709,
126.5256,1344.6794,0.724,
126.5593,1358.8731,0.734,
126.8512,1372.7153,0.735,
127.0283,1386.475,0.743,
127.4641,1400.4446,0.75,
127.6709,1414.1515,0.769,
127.9414,1427.9886,0.776,
127.8687,1441.6485,0.777,
127.769,1455.342,0.784,
127.8797,1468.7558,0.801,
127.6515,1482.5011,0.815,
127.7618,1496.1732,0.816,
128.1805,1509.3706,0.817,
128.616,1523.2546,0.827,
128.8878,1536.7722,0.834,
128.9196,1550.0817,0.842,
129.2103,1564.0085,0.85,
129.3719,1577.0809,0.874,
129.6104,1604.3023,0.875,
129.7604,1617.571,0.884,
129.5597,1630.9913,0.899,
129.7733,1644.8978,0.903,
129.9029,1658.3578,0.909,
129.9217,1671.7529,0.917,
130.0444,1685.1774,0.937,
130.0383,1698.5399,0.938,
130.2035,1712.2521,0.944,
130.1318,1725.8236,0.954,
130.3468,1739.4129,0.959,
130.5014,1752.8304,0.967,
130.5742,1766.3711,0.982,
130.9768,1779.5477,0.988,
131.2412,1793.1364,0.992,
131.2914,1806.0775,1,
131.7513,1819.2864,1.014,
131.93,1832.7297,1.018,
132.0436,1845.8576,1.025,
132.3428,1858.579,1.034,
132.3823,1872.3347,1.051,
132.7355,1885.1126,1.064,
132.8655,1898.6704,1.066,
133.2563,1912.5255,1.067,
133.859,1925.3074,1.075,
134.1207,1938.6868,1.09,
134.256,1951.6203,1.096,
134.779,1965.7242,1.1,
135.2911,1978.9291,1.109,
135.6502,1992.5115,1.128,
135.9284,2005.5226,1.132,
136.534,2018.854,1.138,
136.7464,2032.8843,1.145,
137.2086,2045.8343,1.15,
137.224,2059.133,1.159,
137.372,2072.6607,1.167,
137.2726,2086.2202,1.175,
137.7671,2112.7896,1.199,
137.6779,2126.568,1.2,
137.875,2139.9447,1.209,
138.411,2153.4709,1.225,
138.2245,2166.5632,1.236,
138.1429,2180.9239,1.242,
138.1956,2194.5119,1.243,
138.2437,2207.5838,1.25,
138.731,2221.3941,1.259,
138.7229,2234.8313,1.278,
139.1327,2248.9175,1.279,
139.5842,2262.89,1.284,
139.6746,2276.8563,1.292,
139.7493,2290.7059,1.305,
140.1175,2304.6438,1.311,
141.0583,2318.4835,1.317,
141.5663,2332.1065,1.326,
142.2263,2346.4444,1.334,
142.6445,2359.9698,1.342,
142.8421,2373.7238,1.364,
142.901,2387.0988,1.371,
143.4097,2400.9347,1.372,
143.8375,2414.4462,1.389,
143.3589,2428.0517,1.392,
143.7887,2441.4732,1.393,
143.8655,2455.1654,1.4,
144.0477,2468.2176,1.409,
144.3766,2482.2485,1.417,
144.7986,2496.086,1.43,
144.9443,2509.5876,1.435,
145.0522,2523.7682,1.45,

