run ,run_particle,frame_rate [fps],particle_type
1,1,120,S_3
2,2,120,S_3
3,3,120,S_3
4,4,140,S_3
5,5,140,S_3
6,6,140,S_3
7,7,140,S_3
8,8,140,S_3
9,9,140,S_3
10,1,140,S_1.5
11,2,140,S_1.5
12,3,140,S_1.5
13,4,140,S_1.5
14,5,140,S_1.5
15,6,140,S_1.5
16,1,100,D_3
17,2,90,D_3
18,3,90,D_3
19,4,90,D_3
20,5,90,D_3
21,6,90,D_3
22,1,70,D_2.5
23,2,70,D_2.5
24,3,70,D_2.5
25,4,70,D_2.5
26,5,70,D_2.5
27,1,50,D_2
28,2,50,D_2
29,3,50,D_2
30,4,50,D_2
31,5,50,D_2
32,1,40,D_1.5
33,2,40,D_1.5
34,3,40,D_1.5
35,4,40,D_1.5
