"x","z","t",
120.7284,62.1087,0,
120.7468,64.4667,0.1,
120.7413,66.798,0.2,
120.8026,69.0932,0.3,
120.7949,71.2831,0.4,
120.8339,73.5667,0.5,
120.8669,75.8024,0.6,
120.8983,78.0532,0.7,
120.9535,80.3296,0.8,
120.9538,82.6627,0.9,
120.9383,84.8645,1,
121.0059,87.1342,1.1,
121.0348,89.4049,1.2,
121.0818,91.6723,1.3,
121.0928,93.9946,1.4,
121.1595,96.2167,1.5,
121.2382,98.4579,1.6,
121.2797,100.7599,1.7,
121.347,102.9565,1.8,
121.3631,105.2061,1.9,
121.4336,107.5006,2,
121.5486,109.9047,2.1,
121.6459,112.0334,2.2,
121.686,114.3333,2.3,
121.716,116.5689,2.4,
121.7531,118.7571,2.5,
121.8284,120.9667,2.6,
121.904,123.2316,2.7,
121.9859,125.4914,2.8,
122.006,127.6054,2.9,
122.1184,129.7559,3,
122.1832,132.0374,3.1,
122.2417,134.2611,3.2,
122.3349,136.5252,3.3,
122.454,138.6845,3.4,
122.5417,140.8393,3.5,
122.6,143.0911,3.6,
122.7035,145.2325,3.7,
122.7207,147.3699,3.8,
122.8562,149.6182,3.9,
122.9419,151.7635,4,
123.0339,153.9336,4.1,
123.1133,156.1378,4.2,
123.1668,158.349,4.3,
123.2425,160.6381,4.4,
123.3763,162.7103,4.5,
123.4299,164.9244,4.6,
123.5429,167.0882,4.7,
123.6519,169.319,4.8,
123.7018,171.5171,4.9,
123.8157,173.7193,5,
123.926,175.9031,5.1,
123.9837,178.0257,5.2,
124.0212,180.2981,5.3,
124.1345,182.451,5.4,
124.0968,184.5782,5.5,
124.2889,186.8265,5.6,
124.3263,189.0803,5.7,
124.4206,191.3123,5.8,
124.4943,193.5207,5.9,
124.6023,195.5704,6,
124.6395,197.7864,6.1,
124.7092,200.0399,6.2,
124.8016,202.2092,6.3,
124.8102,204.3656,6.4,
124.9202,206.5088,6.5,
124.979,208.6579,6.6,
125.0106,210.8013,6.7,
125.0597,213.0106,6.8,
125.1075,215.2047,6.9,
125.1477,217.4027,7,
125.1956,219.5738,7.1,
125.2578,221.7452,7.2,
125.2885,223.8532,7.3,
125.4115,225.9928,7.4,
125.4924,228.1687,7.5,
125.5114,230.3209,7.6,
125.5514,232.4443,7.7,
125.612,234.6094,7.8,
125.6532,236.7846,7.9,
125.7413,238.9043,8,
125.7497,241.1098,8.1,
125.8288,243.1879,8.2,
125.804,245.4726,8.3,
125.8414,247.7068,8.4,
125.9846,249.8763,8.5,
126.0041,251.9381,8.6,
126.1236,254.1325,8.7,
126.1856,256.4021,8.8,
126.2194,258.5746,8.9,
126.2758,260.6473,9,
126.268,263.0183,9.1,
126.3591,265.1576,9.2,
126.3761,267.2686,9.3,
126.4293,269.3972,9.4,
126.4922,271.7055,9.5,
126.5596,273.8177,9.6,
126.6269,276.0774,9.7,
126.6608,278.1822,9.8,
126.6675,280.5901,9.9,
126.7555,282.7801,10,
126.825,284.8206,10.1,
126.7817,287.0602,10.2,
126.8129,289.3504,10.3,
126.8411,291.5089,10.4,
126.8168,293.7591,10.5,
126.8715,296.0016,10.6,
126.9327,298.2298,10.7,
126.9013,300.2981,10.8,
126.9747,302.4292,10.9,
127.0453,304.7716,11,
127.0393,306.9033,11.1,
126.9969,309.0256,11.2,
127.0167,311.2768,11.3,
127.0429,313.4717,11.4,
127.0832,315.7881,11.5,
127.1151,317.8698,11.6,
127.0774,319.9368,11.7,
127.1047,322.1653,11.8,
127.0993,324.3164,11.9,
127.0255,326.3376,12,
127.0298,328.3676,12.1,
127.0511,330.4857,12.2,
127.0871,332.5837,12.3,
127.0538,334.7203,12.4,
127.0501,336.7658,12.5,
127.0961,338.8169,12.6,
127.0499,340.9148,12.7,
127.0476,342.8252,12.8,
127.0721,344.8451,12.9,
127.0412,346.8494,13,
126.9663,348.8912,13.1,
126.9888,350.9354,13.2,
126.9287,353.055,13.3,
126.9321,355.1037,13.4,
126.929,357.111,13.5,
126.956,359.1505,13.6,
126.8991,361.0401,13.7,
126.8761,363.048,13.8,
126.7587,365.0311,13.9,
126.7453,367.0303,14,
126.7216,369,14.1,
126.6323,371.0346,14.2,
126.6238,373.0291,14.3,
126.6058,375.0047,14.4,
126.5616,377.0544,14.5,
126.495,378.9947,14.6,
126.4587,381.0095,14.7,
126.3997,382.9861,14.8,
126.3652,384.9187,14.9,
126.3748,386.8552,15,
126.348,388.829,15.1,
126.2812,390.8439,15.2,
126.2631,392.8501,15.3,
