"x","z","t",
169.3924,60.4504,0,
169.3846,65.8708,0.2,
169.3292,71.1508,0.4,
169.5354,76.473,0.6,
169.6399,81.7398,0.8,
169.7372,86.9497,1,
169.6898,92.3297,1.2,
169.8763,97.5971,1.4,
169.9728,102.8707,1.6,
170.2979,107.9037,1.8,
170.4566,113.2866,2,
170.5331,118.674,2.2,
170.7569,124.0291,2.4,
170.8961,129.3317,2.6,
170.7617,134.4888,2.8,
170.7442,139.7036,3,
170.8537,144.8867,3.2,
170.9069,150.076,3.4,
170.9853,155.1686,3.6,
170.9272,160.2709,3.8,
170.9665,165.4645,4,
171.1725,170.6638,4.2,
171.2076,175.7548,4.4,
171.4277,180.5426,4.6,
171.5485,185.4913,4.8,
171.6161,190.3158,5,
171.6944,195.1557,5.2,
171.8577,200.2724,5.4,
171.9204,205.1131,5.6,
172.0623,210.2763,5.8,
172.1743,215.1533,6,
172.0947,220.1277,6.2,
171.9832,225.0895,6.4,
172.1594,229.9448,6.6,
172.0185,234.9525,6.8,
171.8393,239.8453,7,
171.8443,244.7948,7.2,
171.7688,249.698,7.4,
171.5592,254.5007,7.6,
171.3512,259.3318,7.8,
171.2937,264.0861,8,
171.1595,268.7249,8.2,
171.0352,273.6232,8.4,
170.8402,278.3348,8.6,
170.6648,282.9391,8.8,
170.4464,287.7294,9,
170.2653,292.3365,9.2,
170.2097,297.0854,9.4,
170.0471,301.8754,9.6,
169.8899,306.4122,9.8,
169.7363,311.2722,10,
169.4517,315.9126,10.2,
169.2739,320.655,10.4,
169.1695,325.3062,10.6,
168.9873,329.9451,10.8,
168.8469,334.5348,11,
168.6927,339.2448,11.2,
168.5797,344.0593,11.4,
168.5092,348.5896,11.6,
168.4035,353.3263,11.8,
168.2559,357.9028,12,
168.2102,362.456,12.2,
168.1108,367.0522,12.4,
168.0714,371.8524,12.6,
168.018,376.6234,12.8,
167.9687,381.3017,13,
167.9231,386.3169,13.2,
167.9526,391.1876,13.4,
167.8178,396.0249,13.6,
167.8337,400.9996,13.8,
167.7012,405.8646,14,
167.7169,410.8538,14.2,
167.7428,415.7513,14.4,
167.8512,420.7909,14.6,
167.7651,425.6765,14.8,
167.8834,430.671,15,
167.9652,435.7131,15.2,
167.8927,440.844,15.4,
168.0358,445.9961,15.6,
167.9959,451.0621,15.8,
168.1873,456.138,16,
168.3772,461.127,16.2,
168.507,466.4854,16.4,
168.5079,471.7467,16.6,
168.5083,477.1812,16.8,
168.3679,482.7828,17,
168.351,488.3612,17.2,
168.3907,494.0111,17.4,
168.1996,499.6544,17.6,
168.3106,505.2866,17.8,
168.2836,510.9449,18,
168.2489,516.8111,18.2,
168.1455,522.4841,18.4,
168.086,528.1206,18.6,
168.1051,533.8428,18.8,
168.0679,539.5323,19,
167.9078,545.1403,19.2,
167.8417,550.9407,19.4,
