"x","z","t",
141.4094,33.0018,0,
141.3887,34.962,0.04,
141.4118,37.0339,0.08,
141.4521,39.0458,0.12,
141.4571,41.1218,0.16,
141.4674,43.2551,0.2,
141.5235,45.2509,0.24,
141.5419,47.4977,0.28,
141.5932,49.4423,0.32,
141.6057,51.2849,0.36,
141.578,53.4134,0.4,
141.6538,55.5191,0.44,
141.5987,57.6073,0.48,
140.7248,60.9893,0.52,
140.8258,62.8752,0.56,
140.8617,64.9067,0.6,
140.9798,66.6423,0.64,
141.0479,68.5944,0.68,
141.1572,70.365,0.72,
141.2092,72.3105,0.76,
141.4414,74.1492,0.8,
141.5018,75.996,0.84,
141.5953,78.0161,0.88,
141.6848,79.8955,0.92,
141.6886,81.9642,0.96,
141.6962,83.9128,1,
141.7643,85.9906,1.04,
141.6908,87.8483,1.08,
141.8281,89.8617,1.12,
141.8447,91.8097,1.16,
141.7518,93.8362,1.2,
141.8331,95.8488,1.24,
141.6861,97.9626,1.28,
141.703,99.9328,1.32,
141.614,102.0307,1.36,
141.6153,103.8279,1.4,
141.5134,105.6706,1.44,
141.4678,107.4913,1.48,
141.4192,109.485,1.52,
141.3564,111.3257,1.56,
141.2638,113.2595,1.6,
142.1678,116.6166,1.64,
142.0804,118.7528,1.68,
142.0494,120.8999,1.72,
142.1724,122.943,1.76,
141.8803,125.0816,1.8,
138.9937,126.9153,1.84,
139.6041,129.4486,1.88,
138.4791,131.7267,1.92,
139.1777,133.6473,1.96,
138.4739,135.3725,2,
138.9436,137.5858,2.04,
138.502,139.543,2.08,
139.0798,141.8584,2.12,
138.7222,144.2373,2.16,
139.126,146.5245,2.2,
139.0283,148.5689,2.24,
139.266,150.5446,2.28,
139.1632,152.5207,2.32,
139.3969,154.5932,2.36,
139.5495,156.7352,2.4,
139.7525,158.976,2.44,
139.9924,161.0924,2.48,
139.9058,163.091,2.52,
139.9689,165.1559,2.56,
140.0059,167.2488,2.6,
140.1276,169.2317,2.64,
140.4086,171.1517,2.68,
140.7745,173.0309,2.72,
140.2522,175.1331,2.76,
140.3793,177.3321,2.8,
140.0869,179.1588,2.84,
140.1546,181.0927,2.88,
139.7177,183.005,2.92,
139.8562,185.0308,2.96,
139.5639,186.8108,3,
139.4427,188.911,3.04,
139.2538,190.6911,3.08,
139.1764,192.8155,3.12,
139.0501,194.742,3.16,
138.9397,196.8808,3.2,
138.8504,198.757,3.24,
138.6683,200.8085,3.28,
138.6278,202.7575,3.32,
138.4538,204.8447,3.36,
138.3107,206.7141,3.4,
138.1392,208.8343,3.44,
138.1112,210.9024,3.48,
138.0375,212.9372,3.52,
137.9765,214.8629,3.56,
137.8874,216.9254,3.6,
137.8241,219.0095,3.64,
137.5915,221.1521,3.68,
137.5339,223.2531,3.72,
137.3643,225.3914,3.76,
137.4453,227.5143,3.8,
137.3191,229.6836,3.84,
137.2458,231.7637,3.88,
137.1304,233.8922,3.92,
137.0383,236.113,3.96,
137.0027,238.2595,4,
136.8948,240.5252,4.04,
136.8722,242.7436,4.08,
136.8175,244.8988,4.12,
136.7989,247.1125,4.16,
136.7461,249.3276,4.2,
136.6859,251.6372,4.24,
136.6266,253.8749,4.28,
136.6828,256.0408,4.32,
136.6673,258.2694,4.36,
136.5678,260.4349,4.4,
136.5386,262.6152,4.44,
136.6248,264.818,4.48,
136.5969,267.0285,4.52,
136.639,269.2666,4.56,
136.6333,271.4734,4.6,
136.5849,273.6485,4.64,
136.5983,275.8044,4.68,
136.6438,277.912,4.72,
