"x","z","t",
175.8209,51.7467,0,
175.7517,58.8247,0.016667,
175.6602,65.9594,0.033333,
175.6706,73.1995,0.05,
175.6316,80.4343,0.066667,
175.555,87.575,0.083333,
175.5151,94.6885,0.1,
175.4734,101.873,0.11667,
175.4212,109.0448,0.13333,
175.5378,116.1513,0.15,
175.3787,123.2596,0.16667,
175.5333,130.3201,0.18333,
175.5035,137.4578,0.2,
175.5264,144.4485,0.21667,
175.5919,151.6559,0.23333,
175.6494,158.5515,0.25,
175.6292,165.6365,0.26667,
175.6517,172.6511,0.28333,
175.685,179.7346,0.3,
175.6764,186.6867,0.31667,
175.6687,193.6079,0.33333,
175.6957,200.7244,0.35,
175.781,207.6917,0.36667,
175.7629,214.6666,0.38333,
175.7602,221.4836,0.4,
175.7619,228.3604,0.41667,
175.611,235.2844,0.43333,
175.6274,242.1806,0.45,
175.5958,248.9034,0.46667,
175.5659,255.7215,0.48333,
175.558,262.3595,0.5,
175.4632,269.1519,0.51667,
175.3999,275.8188,0.53333,
175.4484,282.5249,0.55,
175.4303,289.3276,0.56667,
175.333,296.0341,0.58333,
175.3376,302.6628,0.6,
175.3798,309.3379,0.61667,
175.3199,315.9734,0.63333,
175.2023,322.6869,0.65,
175.2137,329.4334,0.66667,
175.0931,336.1697,0.68333,
174.9202,342.9315,0.7,
174.8318,349.676,0.71667,
174.7358,356.3368,0.73333,
174.5873,363.4492,0.75,
174.3143,370.1885,0.76667,
174.1955,377.0327,0.78333,
173.9494,383.8785,0.8,
173.7631,390.8197,0.81667,
173.5312,397.6399,0.83333,
173.4691,404.5831,0.85,
173.3035,411.5093,0.86667,
173.2154,418.3545,0.88333,
173.0489,425.1079,0.9,
172.9206,432.09,0.91667,
172.7111,438.9618,0.93333,
172.577,445.6895,0.95,
172.4243,452.5845,0.96667,
172.349,459.3586,0.98333,
172.1818,466.192,1,
172.0317,472.977,1.0167,
171.9358,479.7157,1.0333,
171.8199,486.3784,1.05,
171.7106,493.0951,1.0667,
171.6064,499.8317,1.0833,
171.5994,506.5255,1.1,
171.5138,513.318,1.1167,
171.5572,519.8757,1.1333,
171.4673,526.6902,1.15,
171.4256,533.4828,1.1667,
171.3136,540.2963,1.1833,
171.1691,547.25,1.2,
171.2369,553.8929,1.2167,
171.285,560.7341,1.2333,
171.1665,567.6425,1.25,
171.0998,574.5006,1.2667,
170.9916,581.2803,1.2833,
171.0055,588.0311,1.3,
170.9207,594.8524,1.3167,
170.8767,601.5779,1.3333,
170.7264,608.1427,1.35,
170.706,614.6647,1.3667,
170.7566,621.3136,1.3833,
170.6351,627.8599,1.4,
170.6016,634.3465,1.4167,
170.6418,640.7495,1.4333,
170.6553,647.1229,1.45,
170.7103,653.5167,1.4667,
170.6676,659.8491,1.4833,
170.7799,666.2492,1.5,
170.636,672.5367,1.5167,
