"x","z","t",
104.943,449.7353,0,
104.9893,452.8151,0.1,
105.0912,455.9302,0.2,
105.1352,459.182,0.3,
105.0801,462.0675,0.4,
105.0391,464.9502,0.5,
105.1543,468.0284,0.6,
105.1274,471.0447,0.7,
105.167,474.1025,0.8,
105.0363,477.1916,0.9,
105.2367,480.1794,1,
105.15,483.2218,1.1,
105.1868,486.1523,1.2,
105.1636,489.2523,1.3,
105.1456,492.23,1.4,
105.2826,495.2656,1.5,
105.2116,498.3674,1.6,
105.2003,501.3671,1.7,
105.1057,504.6361,1.802,
105.1945,507.6836,1.9,
105.3096,510.7731,2,
105.3546,513.8119,2.1,
105.2183,516.8834,2.2,
105.2692,519.8945,2.3,
105.1819,522.8473,2.4,
105.2375,525.971,2.503,
105.2756,529,2.601,
105.2746,531.8821,2.7,
105.4109,534.9823,2.8,
105.4076,538.0585,2.9,
105.41,541.1074,3,
105.4387,544.1413,3.1,
105.4409,547.0865,3.2,
105.4979,550.1262,3.3,
105.5014,553.2099,3.4,
105.5527,556.1442,3.5,
105.5774,559.2209,3.6,
105.6116,562.3851,3.7,
105.6228,565.5158,3.8,
105.3549,568.6474,3.9,
105.3212,571.6914,4,
105.3947,574.8244,4.1,
105.4248,577.8137,4.2,
105.3604,580.8974,4.3,
105.3341,583.9262,4.4,
105.2898,586.9677,4.5,
105.414,590.3,4.6,
105.3792,593.355,4.7,
105.5327,596.5635,4.8,
105.3911,599.4901,4.9,
105.3167,602.4588,5,
105.4655,605.6021,5.1,
105.3399,608.6218,5.2,
105.4426,611.5501,5.3,
105.5179,614.4693,5.4,
105.5204,617.4866,5.5,
105.4521,620.1654,5.6,
105.4131,623.1091,5.7,
105.4258,626.2734,5.8,
105.467,629.3737,5.9,
105.3937,632.4289,6,
105.4321,635.3702,6.1,
105.5876,638.2987,6.2,
105.5841,641.2375,6.3,
105.5568,644.2005,6.4,
105.5158,647.3607,6.5,
105.5396,650.277,6.6,
105.6234,653.3043,6.7,
105.6875,656.2235,6.8,
105.6125,659.1747,6.9,
105.5801,662.1333,7,
105.5581,665.0954,7.1,
105.5137,667.8737,7.2,
105.561,670.7916,7.3,
105.5404,673.8307,7.4,
105.4243,676.9171,7.5,
105.4625,679.7964,7.6,
105.5221,682.7516,7.7,
105.4958,685.6128,7.8,
105.4457,688.4822,7.9,
105.3597,691.5711,8,
105.3966,694.5772,8.113,
105.3381,697.5339,8.2,
105.2591,700.4981,8.3,
105.2754,703.4525,8.4,
105.2123,706.3327,8.5,
105.3432,709.146,8.6,
105.3198,712.127,8.7,
105.398,715.1724,8.8,
105.3759,717.9745,8.904,
105.4227,721.1512,9,
105.5184,724.035,9.1,
105.4702,727.0293,9.2,
