"x","z","t",
151.4347,79.072,0,
151.4835,81.5933,0.05,
151.4014,84.1144,0.114,
151.4557,86.5762,0.157,
151.4893,89.0502,0.202,
151.4603,91.6223,0.25,
151.3637,94.1195,0.306,
151.4324,96.5346,0.35,
151.4868,99.0805,0.4,
151.4665,101.5312,0.45,
151.4736,104.0009,0.514,
151.493,106.5924,0.55,
151.482,109.1377,0.6,
151.5196,111.7148,0.657,
151.5288,114.2694,0.715,
151.4982,116.8612,0.762,
151.5626,119.3309,0.81,
151.5784,121.8225,0.865,
151.5598,124.3909,0.9,
151.5443,126.9096,0.962,
151.7011,129.4153,1,
151.7126,132.0351,1.059,
151.6049,134.5806,1.116,
151.5392,137.0212,1.15,
151.5728,139.7049,1.2,
151.5351,142.2312,1.25,
151.5089,144.694,1.313,
151.5296,147.2327,1.35,
151.5672,149.7856,1.413,
151.5514,152.2692,1.451,
151.5103,154.7615,1.514,
151.562,157.2463,1.55,
151.4683,159.8282,1.6,
151.4386,162.4267,1.658,
151.5202,164.8527,1.714,
151.5567,167.3469,1.768,
151.449,169.8007,1.815,
151.5224,172.3036,1.851,
151.5177,174.8555,1.902,
151.4975,177.3609,1.966,
151.5299,179.7954,2.021,
151.4845,182.2832,2.059,
151.5245,184.8182,2.114,
151.5431,187.2528,2.151,
151.5426,189.8615,2.2,
151.446,192.3316,2.257,
151.4898,194.8141,2.305,
151.4738,197.3456,2.371,
151.4248,199.8218,2.411,
151.3962,202.3697,2.45,
151.4497,204.876,2.5,
151.4984,207.4314,2.55,
151.4432,209.8775,2.6,
151.5845,212.3857,2.661,
151.5552,214.8888,2.714,
151.5271,217.3866,2.761,
151.4921,219.9061,2.8,
151.5187,222.3397,2.866,
151.4655,224.7963,2.9,
151.502,227.3231,2.95,
151.5173,229.7496,3,
151.4871,232.3611,3.05,
151.4671,234.7795,3.106,
151.3947,237.2423,3.164,
151.4252,239.8225,3.205,
151.3621,242.1661,3.25,
151.336,244.6447,3.31,
151.3557,247.1125,3.363,
151.3805,249.5006,3.4,
151.3793,252.0771,3.45,
151.3292,254.655,3.5,
151.3386,257.184,3.562,
151.4135,259.7487,3.6,
151.3501,262.2188,3.669,
151.4684,264.6242,3.711,
151.3568,267.0716,3.75,
151.4037,269.6456,3.8,
151.325,272.0688,3.85,
151.3727,274.4594,3.9,
151.2813,277.0101,3.95,
151.2855,279.4216,4.018,
151.2996,281.8455,4.065,
151.2792,284.418,4.116,
151.2678,286.815,4.164,
151.1937,289.2245,4.215,
151.125,291.7457,4.25,
151.0768,294.2202,4.316,
151.0509,296.7186,4.35,
151.0969,299.237,4.415,
151.148,301.6714,4.45,
151.0375,304.194,4.515,
151.1078,306.6993,4.554,
150.9824,309.1441,4.6,
151.1039,311.4955,4.65,
151.1008,314.0674,4.712,
151.186,316.4837,4.75,
151.2114,318.959,4.809,
151.1389,321.5134,4.852,
151.1546,324.0046,4.917,
151.2114,326.4769,4.975,
151.1228,328.9233,5.014,
151.11,331.4872,5.062,
151.1451,333.9849,5.1,
151.1104,336.4462,5.15,
151.1606,338.9003,5.2,
151.117,341.2705,5.255,
151.1358,343.6832,5.316,
151.1018,346.1249,5.362,
151.2005,348.6083,5.4,
151.1704,351.129,5.459,
151.1519,353.7387,5.507,
151.0708,356.2601,5.558,
151.1263,358.7448,5.6,
151.1144,361.1229,5.667,
151.0869,363.6339,5.715,
151.0673,366.0942,5.759,
151.1332,368.5098,5.8,
151.1535,370.9418,5.859,
151.1723,373.4418,5.909,
151.1999,375.9578,5.958,
151.2103,378.3848,6.006,
151.3393,380.8778,6.051,
151.1633,383.3508,6.1,
151.231,385.7066,6.15,
151.1824,388.1691,6.203,
151.1702,390.624,6.253,
151.1324,393.0457,6.302,
151.1597,395.549,6.353,
151.1473,397.9748,6.4,
151.187,400.4193,6.466,
151.1634,402.8282,6.5,
151.1597,405.2398,6.565,
151.1914,407.7247,6.611,
151.1547,410.1639,6.656,
151.2181,412.5562,6.7,
151.1496,414.9889,6.75,
151.1553,417.3261,6.8,
151.2031,419.724,6.866,
151.1108,422.1205,6.9,
151.1099,424.5058,6.96,
151.0992,426.9797,7,
151.1205,429.3742,7.064,
151.0631,431.7444,7.107,
151.0861,434.2007,7.151,
151.0678,436.5738,7.2,
151.0518,439.0459,7.256,
151.0102,441.428,7.315,
151.0434,443.81,7.365,
151.0102,446.2529,7.4,
151.1362,448.5923,7.466,
151.0518,451.0469,7.5,
151.1183,453.4961,7.565,
151.1967,455.8324,7.607,
151.1221,458.208,7.65,
151.1313,460.5694,7.712,
151.1008,462.9914,7.75,
151.006,465.3562,7.8,
151.0028,467.782,7.864,
151.0491,470.2602,7.9,
151.0099,472.6956,7.95,
151.0537,475.1517,8.007,
150.9786,477.6442,8.05,
150.8929,480.0635,8.105,
150.8748,482.5036,8.15,
150.912,484.8905,8.2,
150.9156,487.3076,8.25,
150.8864,489.7745,8.3,
150.8342,492.1436,8.351,
150.7941,494.5663,8.412,
150.7295,497.0992,8.45,
150.6557,499.4817,8.508,
150.6445,501.9959,8.55,
150.6734,504.4336,8.605,
150.6326,506.8733,8.665,
150.685,509.3708,8.7,
150.5746,511.7788,8.75,
150.6224,514.2687,8.801,
150.5623,516.723,8.865,
150.6378,519.1495,8.9,
150.662,521.5498,8.95,
150.6342,523.9273,9,
150.6116,526.4172,9.05,
150.6348,528.8524,9.106,
150.59,531.3802,9.164,
150.5602,533.7246,9.2,
150.5014,536.1674,9.25,
150.4985,538.6106,9.3,
150.472,541.0388,9.35,
150.5478,543.4074,9.401,
150.5044,545.8684,9.464,
150.5505,548.3323,9.5,
150.488,550.7039,9.564,
150.4779,553.2133,9.6,
150.5218,555.5525,9.667,
150.5559,557.9305,9.7,
150.578,560.4133,9.75,
150.5361,562.803,9.806,
150.5838,565.3506,9.85,
150.5534,567.7492,9.903,
150.5158,570.1918,9.95,
150.5653,572.6907,10,
150.565,575.0727,10.065,
150.5783,577.48,10.1,
150.5942,579.9531,10.164,
150.562,582.3962,10.2,
150.5818,584.735,10.262,
150.548,587.1596,10.312,
150.6153,589.5822,10.36,
150.6739,592.0372,10.408,
150.5983,594.4682,10.457,
150.687,596.8848,10.506,
150.6794,599.3214,10.554,
150.6348,601.8072,10.602,
150.5972,604.2604,10.65,
150.5899,606.7067,10.7,
150.5837,609.1222,10.767,
150.6366,611.4899,10.8,
150.6429,613.9315,10.865,
150.571,616.372,10.9,
150.6142,618.786,10.962,
150.5863,621.3142,11,
150.6686,623.7753,11.059,
150.5844,626.2318,11.108,
150.5422,628.6119,11.157,
150.5974,631.0329,11.206,
150.6254,633.5201,11.255,
150.5275,635.8612,11.305,
150.5792,638.3944,11.353,
150.5137,640.7526,11.4,
150.4759,643.2586,11.45,
150.5048,645.7002,11.515,
150.4201,648.1705,11.564,
150.4953,650.494,11.614,
150.507,653.0127,11.662,
150.5252,655.4137,11.7,
150.5642,657.8364,11.76,
150.5261,660.2954,11.808,
150.4815,662.6691,11.85,
150.4465,665.0844,11.917,
150.3753,667.4796,11.95,
150.421,669.8333,12.001,
150.5066,672.2846,12.05,
150.4305,674.734,12.102,
150.4618,677.149,12.165,
150.4709,679.5258,12.214,
150.472,681.873,12.25,
150.3603,684.2802,12.312,
150.4087,686.6836,12.35,
150.398,689.1938,12.406,
150.418,691.593,12.45,
150.3924,693.9969,12.5,
150.38,696.4199,12.555,
150.3069,698.8331,12.616,
150.3308,701.2325,12.65,
150.2934,703.6306,12.716,
150.267,706.147,12.75,
150.3037,708.454,12.814,
150.2807,711.0125,12.85,
150.2187,713.4032,12.9,
150.1767,715.756,12.959,
150.1977,718.2699,13,
150.1741,720.6671,13.058,
150.1319,723.1205,13.1,
150.0314,725.5177,13.156,
149.9787,727.9757,13.2,
150.0514,730.5139,13.25,
149.9805,733.0137,13.304,
149.9577,735.4748,13.35,
149.9431,737.8845,13.401,
149.918,740.3349,13.461,
149.9147,742.7203,13.5,
149.9005,745.1245,13.558,
149.8565,747.5109,13.6,
149.7177,749.9432,13.657,
149.731,752.3453,13.7,
149.6863,754.8704,13.754,
149.6226,757.3104,13.803,
149.5908,759.7399,13.851,
149.5654,762.2023,13.914,
149.5601,764.6661,13.95,
149.5556,767.0183,14.019,
149.5505,769.4303,14.05,
149.4627,771.9123,14.1,
149.4488,774.2937,14.16,
149.417,776.8119,14.2,
149.4173,779.2339,14.254,
149.4128,781.7049,14.3,
149.4071,784.1701,14.35,
149.398,786.6336,14.4,
149.3584,789.0349,14.45,
149.3494,791.3958,14.5,
149.2741,793.8803,14.55,
149.3029,796.2958,14.612,
149.3467,798.6663,14.661,
149.3304,801.112,14.709,
149.2719,803.5854,14.757,
149.3077,805.9386,14.805,
149.3638,808.2875,14.853,
149.3042,810.842,14.9,
149.3256,813.3135,14.95,
149.2825,815.7082,15.015,
149.2458,818.2505,15.05,
149.2276,820.6753,15.1,
149.2282,823.3177,15.15,
149.1817,825.6603,15.2,
149.1504,828.2511,15.264,
149.2073,830.7149,15.3,
149.1625,833.1468,15.35,
149.1881,835.7183,15.4,
149.1493,838.1259,15.464,
149.1725,840.5343,15.5,
149.1931,842.9098,15.55,
149.2398,845.2512,15.6,
149.1836,847.6813,15.663,
149.1314,850.1587,15.7,
149.1096,852.5752,15.76,
149.1604,854.8957,15.816,
149.1781,857.4714,15.862,
149.1272,859.8404,15.911,
149.1776,862.3936,15.95,
149.1469,864.7918,16.015,
149.2136,867.1472,16.066,
149.1457,869.6751,16.111,
149.1569,872.1587,16.166,
149.2761,874.607,16.2,
149.1966,877.1148,16.264,
149.2328,879.6165,16.313,
149.1886,882.0272,16.365,
149.2863,884.4756,16.406,
149.3474,886.9013,16.45,
149.3988,889.323,16.5,
149.4249,891.7953,16.565,
149.3817,894.3038,16.609,
149.3507,896.7331,16.651,
149.3442,899.1827,16.7,
149.3842,901.6769,16.765,
149.3303,904.0869,16.8,
149.344,906.4018,16.85,
149.3358,908.8587,16.9,
149.3336,911.2387,16.954,
149.4659,913.6492,17.001,
149.4211,916.1831,17.059,
149.4218,918.6114,17.1,
149.4138,921.148,17.15,
149.3915,923.5203,17.207,
149.4044,925.927,17.264,
149.4467,928.3914,17.3,
149.3821,930.7476,17.35,
149.5141,933.226,17.4,
149.5046,935.5998,17.453,
149.4955,938.0646,17.5,
149.467,940.5471,17.55,
149.4472,943.0325,17.611,
149.4936,945.4603,17.65,
149.5246,947.823,17.7,
149.5349,950.2728,17.75,
149.5042,952.6719,17.8,
149.4704,955.1987,17.85,
149.4541,957.5379,17.9,
149.5331,960.1395,17.965,
149.4312,962.5834,18.014,
149.5326,965.028,18.066,
149.5401,967.5118,18.1,
149.5358,969.9601,18.15,
149.5764,972.3324,18.208,
149.5394,974.6951,18.25,
149.4828,977.1722,18.305,
149.4791,979.6533,18.352,
149.4856,982.2611,18.403,
149.4329,984.7164,18.45,
149.4074,987.0564,18.514,
149.4124,989.4527,18.563,
149.3278,991.8949,18.6,
149.4148,994.3672,18.664,
149.4018,996.8394,18.7,
149.367,999.2859,18.761,
149.3867,1001.7604,18.81,
149.3214,1004.1236,18.859,
149.318,1006.5794,18.908,
149.2984,1009.04,18.956,
149.3331,1011.4381,19.004,
149.3572,1013.8966,19.052,
149.3827,1016.4322,19.1,
149.3527,1018.7783,19.15,
149.3727,1021.3058,19.213,
149.4041,1023.7103,19.25,
149.3433,1026.162,19.315,
149.3795,1028.6854,19.35,
149.336,1031.1363,19.4,
149.2888,1033.6667,19.455,
149.3483,1036.0721,19.5,
149.3375,1038.5128,19.55,
149.3401,1041.03,19.6,
149.2836,1043.5513,19.65,
149.2537,1045.9308,19.715,
149.2775,1048.3899,19.75,
149.2389,1050.9316,19.812,
149.1926,1053.3769,19.861,
149.1703,1055.8323,19.911,
149.2021,1058.3882,19.959,
149.1321,1060.7652,20.009,
149.1411,1063.373,20.05,
149.2275,1065.7788,20.118,
149.2786,1068.2658,20.15,
149.2786,1070.7292,20.202,
149.306,1073.3103,20.253,
149.3138,1075.7502,20.313,
149.32,1078.164,20.365,
149.2864,1080.5825,20.413,
149.3508,1083.055,20.463,
149.3105,1085.3886,20.511,
149.2769,1087.9479,20.559,
149.3251,1090.3844,20.613,
149.3115,1092.8534,20.65,
149.3842,1095.2732,20.7,
149.3616,1097.7581,20.75,
149.345,1100.2011,20.813,
149.3727,1102.6706,20.85,
149.3311,1105.0685,20.9,
149.2748,1107.5013,20.962,
149.2925,1110.0174,21.015,
149.2518,1112.4314,21.05,
149.3007,1114.8602,21.1,
149.3744,1117.3244,21.158,
149.3708,1119.7324,21.214,
149.3932,1122.2295,21.25,
149.4554,1124.6694,21.3,
149.3119,1127.1541,21.35,
149.3307,1129.6022,21.414,
149.3015,1132.0327,21.45,
149.2855,1134.4971,21.517,
149.355,1136.9341,21.55,
149.4135,1139.394,21.6,
149.4303,1141.8004,21.661,
149.353,1144.2475,21.7,
149.3619,1146.6959,21.75,
149.3536,1149.1455,21.8,
149.3397,1151.548,21.853,
149.3143,1153.9221,21.9,
149.3687,1156.4539,21.95,
149.3151,1158.8699,22.015,
149.3006,1161.3559,22.05,
149.3378,1163.7157,22.114,
149.3819,1166.1551,22.15,
149.3338,1168.6952,22.2,
149.3893,1171.0659,22.258,
149.389,1173.4433,22.3,
149.3338,1175.8374,22.354,
149.3724,1178.3194,22.4,
149.4204,1180.744,22.45,
149.4635,1183.1811,22.515,
149.4646,1185.614,22.55,
149.4141,1187.9349,22.6,
149.4581,1190.2947,22.663,
149.4396,1192.7393,22.7,
149.4703,1195.1506,22.76,
149.4158,1197.5238,22.8,
149.4431,1199.8433,22.858,
149.4447,1202.3278,22.9,
149.4051,1204.7226,22.954,
149.4368,1207.1326,23.003,
149.4175,1209.4911,23.053,
149.4492,1211.8076,23.101,
149.3903,1214.2778,23.15,
149.4134,1216.716,23.214,
149.3795,1219.043,23.25,
149.4338,1221.4901,23.3,
149.4642,1223.9235,23.361,
149.4823,1226.3556,23.41,
149.4688,1228.7587,23.458,
149.472,1231.1624,23.508,
149.4366,1233.5218,23.556,
149.413,1235.8738,23.6,
149.433,1238.2942,23.65,
149.3823,1240.6595,23.7,
149.3374,1243.1474,23.764,
149.3008,1245.4985,23.813,
149.3744,1247.9664,23.862,
149.3347,1250.3833,23.911,
149.3366,1252.6816,23.96,
149.3175,1254.9737,24.009,
149.3308,1257.3655,24.05,
149.3149,1259.6282,24.106,
149.3046,1261.8914,24.154,
149.1936,1264.2935,24.203,
149.1745,1266.6128,24.251,
149.22,1269.0337,24.316,
149.2103,1271.5231,24.35,
149.1904,1273.7934,24.401,
149.2327,1276.1608,24.45,
149.1859,1278.5649,24.5,
149.1753,1280.9289,24.565,
149.2275,1283.2704,24.6,
149.1914,1285.6875,24.653,
149.1443,1288.0962,24.7,
149.1396,1290.4233,24.75,
149.1177,1292.7042,24.804,
149.1284,1294.9903,24.85,
149.1053,1297.4398,24.916,
149.0728,1299.7417,24.965,
149.0738,1302.2162,25.013,
149.0557,1304.5524,25.061,
149.0027,1306.9082,25.109,
149.0284,1309.2821,25.157,
