"x","z","t",
97.7208,130.1784,0,
97.8076,131.9617,0.028,
97.7882,133.8102,0.039,
97.884,135.5404,0.06,
97.9101,137.436,0.091,
97.9352,139.2655,0.101,
97.9674,141.1221,0.131,
98.0588,142.9403,0.146,
98.1094,144.8556,0.169,
98.1316,146.6169,0.18,
98.2027,148.5508,0.207,
98.2776,150.3374,0.221,
98.2959,152.1289,0.241,
98.2014,154.0756,0.259,
98.3315,155.7636,0.279,
98.3882,157.6668,0.307,
98.3104,159.5604,0.325,
98.3607,161.3915,0.346,
98.5324,163.0755,0.359,
98.5914,164.9932,0.389,
98.609,166.7315,0.407,
98.6912,168.5578,0.428,
98.831,170.4442,0.447,
98.8676,172.1447,0.459,
98.9251,174.0054,0.479,
98.8623,175.9447,0.51,
98.9469,177.6929,0.525,
98.9506,179.5104,0.544,
99.1043,181.3901,0.559,
99.0947,183.1988,0.587,
99.0611,185.0796,0.61,
99.1511,186.8542,0.621,
99.1759,188.7573,0.64,
99.2225,190.5574,0.669,
99.3778,192.4564,0.68,
99.4216,194.166,0.7,
99.5482,195.9871,0.722,
99.5066,197.8961,0.749,
99.4805,199.7879,0.76,
99.6858,201.5376,0.789,
99.7151,203.4395,0.799,
99.6862,205.3621,0.828,
99.6518,207.1959,0.849,
99.7314,209.084,0.859,
99.8223,210.9543,0.882,
99.8195,212.7766,0.902,
99.9527,214.6002,0.928,
99.8886,216.5623,0.94,
99.8655,218.3455,0.963,
100.0281,220.2537,0.991,
100.0083,222.1543,1.008,
100.0306,223.9845,1.027,
100.1357,225.7947,1.04,
100.157,227.7103,1.06,
100.1165,229.6602,1.08,
100.2807,231.3979,1.1,
100.3785,233.3081,1.125,
100.2418,235.365,1.14,
100.3649,237.1712,1.167,
100.3708,239.0044,1.18,
100.2576,240.969,1.21,
100.4154,242.8959,1.219,
100.4391,244.7404,1.24,
100.5051,246.7295,1.26,
100.5944,248.5964,1.286,
100.5943,250.451,1.3,
100.5629,252.2961,1.33,
100.6761,254.221,1.348,
100.737,256.1072,1.36,
100.7305,257.998,1.383,
100.7463,259.8837,1.41,
100.7277,261.8175,1.428,
100.7633,263.6963,1.447,
100.757,265.654,1.459,
100.8217,267.5631,1.48,
100.8271,269.4759,1.509,
100.9755,271.5083,1.524,
100.9735,273.4269,1.543,
101.0387,275.1868,1.569,
100.984,277.2245,1.579,
101.0015,279.0795,1.599,
101.1952,280.9497,1.624,
101.121,282.7838,1.648,
101.1727,284.6605,1.66,
101.2296,286.5603,1.687,
101.2235,288.4748,1.7,
101.2607,290.317,1.729,
101.2663,292.1776,1.749,
101.2714,294.039,1.76,
101.3233,295.8766,1.785,
101.3021,297.7418,1.8,
101.4698,299.5458,1.83,
101.4615,301.5792,1.84,
101.5127,303.1751,1.86,
101.523,305.1033,1.884,
101.5497,307.0093,1.9,
101.6475,308.8208,1.93,
101.7818,310.6458,1.939,
101.7259,312.4981,1.964,
101.7096,314.2963,1.979,
101.7868,316.0263,1.999,
101.7634,317.8841,2.028,
101.8594,319.6681,2.043,
101.868,321.3721,2.062,
101.9854,323.0992,2.089,
101.8663,325.0097,2.106,
101.8758,326.7637,2.13,
101.9572,328.6195,2.14,
101.9644,330.3698,2.16,
101.9567,332.0929,2.188,
101.9481,333.8186,2.2,
101.9641,335.7131,2.22,
101.9781,337.3618,2.24,
102.0419,339.1243,2.269,
101.9047,341.0116,2.279,
101.9995,342.7093,2.304,
101.9519,344.4116,2.328,
101.923,346.1617,2.348,
101.9508,347.9995,2.368,
101.9157,349.7797,2.38,
101.893,351.6082,2.408,
101.8071,353.3542,2.429,
101.7221,355.0224,2.447,
101.8368,356.9952,2.459,
101.8724,358.7894,2.48,
101.8992,360.4727,2.509,
101.845,362.1734,2.526,
101.9068,364.0593,2.545,
101.8987,365.7658,2.56,
101.8613,367.6963,2.58,
101.8902,369.423,2.6,
101.9294,371.2211,2.628,
101.8342,373.2083,2.64,
101.7383,375.041,2.66,
101.8217,376.7145,2.688,
101.8216,378.618,2.699,
101.8508,380.3343,2.73,
101.8991,382.0892,2.748,
101.869,383.9376,2.759,
101.7591,385.862,2.786,
101.7643,387.6438,2.799,
101.745,389.4204,2.828,
101.8193,391.1251,2.848,
101.7676,393.0618,2.859,
101.8143,394.9074,2.883,
101.8889,396.621,2.902,
101.8725,398.4707,2.93,
101.9899,400.2644,2.94,
101.9054,402.0155,2.963,
101.8959,403.9835,2.99,
102.0039,405.6136,3,
101.968,407.5075,3.029,
101.9394,409.1395,3.041,
101.8825,410.9729,3.06,
101.9677,412.8328,3.08,
102.0456,414.4129,3.1,
101.9829,416.3056,3.13,
102.0453,418.1013,3.14,
102.073,420.0486,3.169,
102.0093,421.8218,3.179,
102.0039,423.5944,3.205,
102.0278,425.4383,3.22,
101.9888,427.1692,3.248,
102.0239,428.8783,3.269,
102.0416,430.6428,3.279,
102.0376,432.5405,3.301,
102.0605,434.2588,3.329,
102.0068,436.082,3.346,
102.0408,437.8698,3.365,
102.0098,439.788,3.379,
102.0539,441.4378,3.408,
102.0229,443.3337,3.42,
102.0356,445.0073,3.45,
102.0777,446.9257,3.459,
102.0623,448.4549,3.479,
102.1002,450.3651,3.508,
102.1526,452.2069,3.519,
102.1944,454.0572,3.548,
102.196,455.941,3.57,
102.2328,457.6583,3.579,
102.0758,459.4189,3.605,
102.1499,461.1617,3.619,
102.227,462.9258,3.65,
102.3061,464.8051,3.659,
102.239,466.4618,3.679,
102.2782,468.3317,3.702,
102.3507,469.9808,3.722,
102.2124,471.9502,3.748,
102.2556,473.5929,3.759,
102.4053,475.4214,3.784,
102.3296,477.1976,3.807,
102.3475,478.9195,3.819,
102.3516,480.7275,3.848,
102.346,482.3864,3.862,
102.3374,484.2461,3.881,
102.4465,485.9961,3.909,
102.507,487.8222,3.919,
102.3979,489.5446,3.948,
102.4323,491.3581,3.959,
102.4116,493.0692,3.979,
102.5046,494.8477,4.009,
102.429,496.5895,4.02,
102.4591,498.2736,4.04,
102.4876,500.053,4.06,
102.3992,501.8437,4.089,
102.507,503.4152,4.1,
102.6169,505.2172,4.122,
102.4952,506.9797,4.149,
102.4558,508.8476,4.167,
102.4464,510.4537,4.186,
102.5465,512.1255,4.2,
102.4357,514.0544,4.219,
102.4734,515.7229,4.239,
102.4338,517.3781,4.266,
102.4291,519.1003,4.28,
102.4829,520.8477,4.3,
102.4101,522.5908,4.329,
102.3595,524.3667,4.34,
