"x","z","t",
147.9641,58.1203,0,
147.9704,62.735,0.011,
147.9912,67.4896,0.012,
148.0928,72.3003,0.018,
148.0767,76.9927,0.025,
148.0157,81.6964,0.032,
148.0873,86.3296,0.039,
148.1485,91.0532,0.046,
148.1185,95.7977,0.054,
148.1811,100.4787,0.061,
148.1809,105.2016,0.073,
148.2073,110.0152,0.076,
148.2204,114.7266,0.089,
148.225,119.4961,0.092,
148.2619,124.174,0.096,
148.3167,128.972,0.104,
148.3291,133.6576,0.111,
148.2911,138.5134,0.118,
148.376,143.2328,0.125,
148.3716,147.984,0.138,
148.4048,152.8367,0.141,
148.4806,157.67,0.147,
148.5387,162.4187,0.154,
148.5879,167.2395,0.169,
148.5371,172.1079,0.177,
148.6038,176.8973,0.181,
148.6757,181.8419,0.183,
148.6909,186.663,0.189,
148.7465,191.494,0.203,
148.7862,196.3066,0.21,
148.8687,201.1036,0.214,
148.8576,206.0417,0.221,
148.811,210.8347,0.233,
148.9733,215.5624,0.237,
148.9892,220.4229,0.24,
149.0307,225.2092,0.246,
149.0393,230.0938,0.254,
149.0794,234.9806,0.266,
149.147,239.762,0.269,
149.0796,244.5632,0.277,
149.1043,249.4077,0.282,
149.2653,254.1755,0.295,
149.1587,259.0532,0.298,
149.2004,263.9416,0.309,
149.3613,268.6991,0.315,
149.2491,273.6819,0.318,
149.3035,283.2764,0.335,
149.3388,288.0842,0.339,
149.3665,292.9203,0.346,
149.405,297.6656,0.354,
149.3776,302.5387,0.361,
149.442,307.4237,0.368,
149.5121,312.2026,0.38,
149.5126,316.9783,0.383,
149.4845,321.9337,0.392,
149.6235,326.6111,0.398,
149.6874,331.4494,0.416,
149.5824,336.2012,0.417,
149.6257,340.973,0.418,
149.6934,345.8687,0.425,
149.7677,350.5728,0.434,
149.8315,355.3553,0.445,
149.9146,360.1194,0.447,
149.9658,364.9603,0.454,
150.0042,369.8117,0.461,
149.9855,374.6459,0.473,
150.0677,379.346,0.482,
150.069,384.1501,0.488,
150.1064,388.9511,0.491,
150.2187,393.7363,0.5,
150.2551,398.6136,0.504,
150.3366,403.4394,0.511,
150.3499,413.1606,0.53,
150.5155,417.9751,0.532,
150.5809,422.7923,0.539,
150.5908,427.6339,0.546,
150.6422,432.3398,0.554,
150.6759,437.1398,0.561,
150.7063,442.0085,0.568,
150.7651,446.8324,0.575,
150.834,451.6967,0.588,
150.8193,456.4683,0.592,
150.7486,461.3789,0.603,
150.8926,466.1851,0.606,
150.9171,471.0448,0.611,
150.8573,475.9263,0.618,
150.9035,480.7462,0.625,
150.8666,485.5878,0.638,
150.9073,490.404,0.643,
150.975,495.2277,0.647,
150.9223,500.0442,0.654,
151.0611,504.8648,0.668,
151.0455,509.7204,0.674,
151.0304,514.4854,0.678,
151.0843,519.2679,0.682,
151.0823,524.0545,0.689,
151.0899,528.7767,0.696,
151.0948,533.5317,0.704,
151.162,538.3119,0.716,
151.1839,543.1493,0.722,
151.1262,547.8464,0.725,
